Municipio,Categoria,Tipo,Valor,Year,Isla
ALCÚDIA,CT,ESTABL.,NA,23,Mallorca
ALCÚDIA,CT,PLACES,NA,23,Mallorca
ALCÚDIA,F,ESTABL.,1,23,Mallorca
ALCÚDIA,F,PLACES,32,23,Mallorca
ALCÚDIA,H 1*,ESTABL.,NA,23,Mallorca
ALCÚDIA,H 1*,PLACES,NA,23,Mallorca
ALCÚDIA,H 2*,ESTABL.,NA,23,Mallorca
ALCÚDIA,H 2*,PLACES,NA,23,Mallorca
ALCÚDIA,H 3*,ESTABL.,9,23,Mallorca
ALCÚDIA,H 3*,PLACES,4400,23,Mallorca
ALCÚDIA,H 3*SUP,ESTABL.,NA,23,Mallorca
ALCÚDIA,H 3*SUP,PLACES,NA,23,Mallorca
ALCÚDIA,H 4*,ESTABL.,15,23,Mallorca
ALCÚDIA,H 4*,PLACES,6597,23,Mallorca
ALCÚDIA,H 4* SUP,ESTABL.,1,23,Mallorca
ALCÚDIA,H 4* SUP,PLACES,348,23,Mallorca
ALCÚDIA,H 5*,ESTABL.,1,23,Mallorca
ALCÚDIA,H 5*,PLACES,126,23,Mallorca
ALCÚDIA,H 5* G.L.,ESTABL.,NA,23,Mallorca
ALCÚDIA,H 5* G.L.,PLACES,NA,23,Mallorca
ALCÚDIA,HA 1*,ESTABL.,NA,23,Mallorca
ALCÚDIA,HA 1*,PLACES,NA,23,Mallorca
ALCÚDIA,HA 2*,ESTABL.,NA,23,Mallorca
ALCÚDIA,HA 2*,PLACES,NA,23,Mallorca
ALCÚDIA,HA 3*,ESTABL.,4,23,Mallorca
ALCÚDIA,HA 3*,PLACES,1824,23,Mallorca
ALCÚDIA,HA 3* SUP,ESTABL.,1,23,Mallorca
ALCÚDIA,HA 3* SUP,PLACES,336,23,Mallorca
ALCÚDIA,HA 4*,ESTABL.,13,23,Mallorca
ALCÚDIA,HA 4*,PLACES,5486,23,Mallorca
ALCÚDIA,HA 4* SUP,ESTABL.,2,23,Mallorca
ALCÚDIA,HA 4* SUP,PLACES,443,23,Mallorca
