Comunidad;ConsumoEuros;Anio;CCAA
PAIS VASCO;3690248,38;2008;16
LA RIOJA;495238,33;2008;17
NAVARRA;982984,2;2008;15
CANARIAS;3203842,36;2008;05
CATALU?A;12090935,36;2009;09
ARAGON;2171009,2;2009;02
BALEARES;1503084,24;2009;04
VALENCIA;7094412,18;2009;10
MURCIA;1912157,7;2009;14
ANDALUCIA;10819091,15;2009;01
MADRID;8893259,35;2009;13
CASTILLA LA MANCHA;3009075,28;2009;08
EXTREMADURA;1362463,45;2009;11
CASTILLA LEON;4362929,58;2009;07
GALICIA;4444483,66;2009;12
ASTURIAS;1865366,18;2009;03
CANTABRIA;933628,05;2009;06
PAIS VASCO;3648647,17;2009;16
LA RIOJA;482722,24;2009;17
NAVARRA;946515,9;2009;15
CANARIAS;3115573,16;2009;05
CATALU?A;11687775,3;2010;09
ARAGON;2076367,37;2010;02
BALEARES;1496111,69;2010;04
VALENCIA;7189168,12;2010;10
MURCIA;1850672,79;2010;14
ANDALUCIA;10822561,29;2010;01
MADRID;8907023,2;2010;13
CASTILLA LA MANCHA;2881289,3;2010;08
EXTREMADURA;1326190,91;2010;11
CASTILLA LEON;4142396,8;2010;07
GALICIA;4278237,23;2010;12
ASTURIAS;1706303,15;2010;03
CANTABRIA;896497,08;2010;06
PAIS VASCO;3550738,44;2010;16
LA RIOJA;470897,64;2010;17
NAVARRA;887613,95;2010;15
CANARIAS;2915617,71;2010;05
CATALU?A;11630419,03;2011;09
ARAGON;2094863,44;2011;02
BALEARES;1514973,57;2011;04
VALENCIA;7256466,41;2011;10
MURCIA;1935504,71;2011;14
ANDALUCIA;10920959,53;2011;01
MADRID;8969051,56;2011;13
CASTILLA LA MANCHA;2877827,26;2011;08
EXTREMADURA;1386220,18;2011;11
CASTILLA LEON;4131681,42;2011;07
GALICIA;4287689,96;2011;12
ASTURIAS;1738689,73;2011;03
CANTABRIA;906380,44;2011;06
PAIS VASCO;3538811,25;2011;16
LA RIOJA;468911,56;2011;17
NAVARRA;905412,64;2011;15
CANARIAS;2956010,81;2011;05
CATALU?A;11569607,48;2012;09
ARAGON;2050892,1;2012;02
BALEARES;1567871,27;2012;04
VALENCIA;7188519,4;2012;10
MURCIA;2070404,68;2012;14
ANDALUCIA;11037884;2012;01
MADRID;8964200,05;2012;13
CASTILLA LA MANCHA;2851029,43;2012;08
EXTREMADURA;1361882,17;2012;11
CASTILLA LEON;4122064,03;2012;07
GALICIA;4242752,6;2012;12
ASTURIAS;1723358,58;2012;03
CANTABRIA;937770,52;2012;06
PAIS VASCO;3646368,13;2012;16
LA RIOJA;450377,84;2012;17
NAVARRA;947682,26;2012;15
CANARIAS;2901722,76;2012;05
CATALU?A;12039676,58;2013;09
ARAG?N;2135957,13;2013;02
ILLES BALEARS;1537447,55;2013;04
COMUNITAT VALENCIANA;7294888,25;2013;10
MURCIA;1962245,73;2013;14
ANDALUC?A;11225085,46;2013;01
MADRID;9162149,9;2013;13
CASTILLA - LA MANCHA;2913744,15;2013;08
EXTREMADURA;1411132,66;2013;11
CASTILLA Y LE?N;4094853,79;2013;07
GALICIA;4329702,16;2013;12
ASTURIAS;1809178,17;2013;03
CANTABRIA;942419,71;2013;06
PAIS VASCO;3627980,45;2013;16
LA RIOJA;487191,11;2013;17
NAVARRA;1012271,93;2013;15
CANARIAS;2889824,64;2013;05
CATALU?A;11316637,42;2014;09
ARAG?N;2026843,98;2014;02
ILLES BALEARS;1606558,09;2014;04
COMUNITAT VALENCIANA;7092728,39;2014;10
REGI?N DE MURCIA;1902141,86;2014;14
ANDALUC?A;10771169,41;2014;01
COMUNIDAD DE MADRID;8772270,94;2014;13
CASTILLA - LA MANCHA;2833350,64;2014;08
EXTREMADURA;1382166,17;2014;11
CASTILLA Y LE?N;3901887,73;2014;07
GALICIA;4306825,24;2014;12
PRINCIPADO DE ASTURIAS;1782155,38;2014;03
CANTABRIA;892686,32;2014;06
PAIS VASCO;3564862,74;2014;16
LA RIOJA;476126,67;2014;17
C FORAL DE NAVARRA;921180,09;2014;15
CANARIAS;2893866,42;2014;05
CATALU?A;11714766,24;2015;09
ARAG?N;2058373,01;2015;02
ILLES BALEARS;1525224,08;2015;04
COMUNITAT VALENCIANA;7012132,27;2015;10
REGI?N DE MURCIA;1941939,84;2015;14
ANDALUC?A;10970300,43;2015;01
COMUNIDAD DE MADRID;8859275,6;2015;13
CASTILLA - LA MANCHA;2874811,59;2015;08
EXTREMADURA;1454685,9;2015;11
CASTILLA Y LE?N;3946969,47;2015;07
GALICIA;4306532,26;2015;12
PRINCIPADO DE ASTURIAS;1652118,75;2015;03
CANTABRIA;849897,94;2015;06
PAIS VASCO;3539542,32;2015;16
LA RIOJA;443794,05;2015;17
C FORAL DE NAVARRA;910917,14;2015;15
CANARIAS;2982321,01;2015;05
CATALU?A;11946276,73;2016;09
ARAG?N;2095215,58;2016;02
ILLES BALEARS;1530366,59;2016;04
COMUNITAT VALENCIANA;6863140,91;2016;10
REGI?N DE MURCIA;1950016,73;2016;14
