Utilización de la capacidad productiva en la industria;Principales indicadores;Periodo;Total
Del 55% al 69%;Situación del trimestre anterior;2021T1;15,5
Del 55% al 69%;Expectativas del trimestre entrante;2025T2;10,7
Del 55% al 69%;Expectativas del trimestre entrante;2025T1;14,7
Del 55% al 69%;Expectativas del trimestre entrante;2024T4;12,1
Del 55% al 69%;Expectativas del trimestre entrante;2024T3;12,2
Del 55% al 69%;Expectativas del trimestre entrante;2024T2;11,4
Del 55% al 69%;Expectativas del trimestre entrante;2024T1;11,8
Del 55% al 69%;Expectativas del trimestre entrante;2023T4;12
Del 55% al 69%;Expectativas del trimestre entrante;2023T3;12,3
Del 55% al 69%;Expectativas del trimestre entrante;2023T2;11,8
Del 55% al 69%;Expectativas del trimestre entrante;2023T1;14,2
Del 55% al 69%;Expectativas del trimestre entrante;2022T4;14,9
Del 55% al 69%;Expectativas del trimestre entrante;2022T3;14,5
Del 55% al 69%;Expectativas del trimestre entrante;2022T2;16,1
Del 55% al 69%;Expectativas del trimestre entrante;2022T1;13,2
Del 55% al 69%;Expectativas del trimestre entrante;2021T4;13,1
Del 55% al 69%;Expectativas del trimestre entrante;2021T3;12,3
Del 55% al 69%;Expectativas del trimestre entrante;2021T2;15,6
Del 55% al 69%;Expectativas del trimestre entrante;2021T1;14,8
Del 70% al 79%;Situación del trimestre anterior;2025T2;25,1
Del 70% al 79%;Situación del trimestre anterior;2025T1;21,5
Del 70% al 79%;Situación del trimestre anterior;2024T4;24,7
Del 70% al 79%;Situación del trimestre anterior;2024T3;23,5
Del 70% al 79%;Situación del trimestre anterior;2024T2;24,6
Del 70% al 79%;Situación del trimestre anterior;2024T1;25,3
Del 70% al 79%;Situación del trimestre anterior;2023T4;24,8
Del 70% al 79%;Situación del trimestre anterior;2023T3;23,1
Del 70% al 79%;Situación del trimestre anterior;2023T2;23,2
Del 70% al 79%;Situación del trimestre anterior;2023T1;25
Del 70% al 79%;Situación del trimestre anterior;2022T4;22,2
Del 70% al 79%;Situación del trimestre anterior;2022T3;22,2
Del 70% al 79%;Situación del trimestre anterior;2022T2;22,3
Del 70% al 79%;Situación del trimestre anterior;2022T1;22,2
Del 70% al 79%;Situación del trimestre anterior;2021T4;23,8
Del 70% al 79%;Situación del trimestre anterior;2021T3;23,8
Del 70% al 79%;Situación del trimestre anterior;2021T2;23,2
Del 70% al 79%;Situación del trimestre anterior;2021T1;20,3
Del 70% al 79%;Expectativas del trimestre entrante;2025T2;23,7
Del 70% al 79%;Expectativas del trimestre entrante;2025T1;21,4
Del 70% al 79%;Expectativas del trimestre entrante;2024T4;24,3
Del 70% al 79%;Expectativas del trimestre entrante;2024T3;23,1
Del 70% al 79%;Expectativas del trimestre entrante;2024T2;22,7
Del 70% al 79%;Expectativas del trimestre entrante;2024T1;24,7
Del 70% al 79%;Expectativas del trimestre entrante;2023T4;23,7
Del 70% al 79%;Expectativas del trimestre entrante;2023T3;22,7
Del 70% al 79%;Expectativas del trimestre entrante;2023T2;23,7
Del 70% al 79%;Expectativas del trimestre entrante;2023T1;23,9
Del 70% al 79%;Expectativas del trimestre entrante;2022T4;23,5
Del 70% al 79%;Expectativas del trimestre entrante;2022T3;21,4
Del 70% al 79%;Expectativas del trimestre entrante;2022T2;23,5
Del 70% al 79%;Expectativas del trimestre entrante;2022T1;23,4
Del 70% al 79%;Expectativas del trimestre entrante;2021T4;23,3
Del 70% al 79%;Expectativas del trimestre entrante;2021T3;23,2
Del 70% al 79%;Expectativas del trimestre entrante;2021T2;21,2
Del 70% al 79%;Expectativas del trimestre entrante;2021T1;21,1
Del 80% al 89%;Situación del trimestre anterior;2025T2;27,3
Del 80% al 89%;Situación del trimestre anterior;2025T1;29,9
Del 80% al 89%;Situación del trimestre anterior;2024T4;27,8
Del 80% al 89%;Situación del trimestre anterior;2024T3;29,6
Del 80% al 89%;Situación del trimestre anterior;2024T2;27,4
Del 80% al 89%;Situación del trimestre anterior;2024T1;27,9
Del 80% al 89%;Situación del trimestre anterior;2023T4;27,9
Del 80% al 89%;Situación del trimestre anterior;2023T3;29,3
Del 80% al 89%;Situación del trimestre anterior;2023T2;28,4
Del 80% al 89%;Situación del trimestre anterior;2023T1;26,8
Del 80% al 89%;Situación del trimestre anterior;2022T4;28,5
Del 80% al 89%;Situación del trimestre anterior;2022T3;29,4
Del 80% al 89%;Situación del trimestre anterior;2022T2;25,7
Del 80% al 89%;Situación del trimestre anterior;2022T1;27,7
Del 80% al 89%;Situación del trimestre anterior;2021T4;25,2
Del 80% al 89%;Situación del trimestre anterior;2021T3;23,6
Del 80% al 89%;Situación del trimestre anterior;2021T2;21,5
Del 80% al 89%;Situación del trimestre anterior;2021T1;24,7
Del 80% al 89%;Expectativas del trimestre entrante;2025T2;30,2
Del 80% al 89%;Expectativas del trimestre entrante;2025T1;30,3
Del 80% al 89%;Expectativas del trimestre entrante;2024T4;29,2
Del 80% al 89%;Expectativas del trimestre entrante;2024T3;26,9
Del 80% al 89%;Expectativas del trimestre entrante;2024T2;30,4
Del 80% al 89%;Expectativas del trimestre entrante;2024T1;27,2
Del 80% al 89%;Expectativas del trimestre entrante;2023T4;28,1
Del 80% al 89%;Expectativas del trimestre entrante;2023T3;28,9
Del 80% al 89%;Expectativas del trimestre entrante;2023T2;29,4
Del 80% al 89%;Expectativas del trimestre entrante;2023T1;26,4
Del 80% al 89%;Expectativas del trimestre entrante;2022T4;26,8
Del 80% al 89%;Expectativas del trimestre entrante;2022T3;28,9
Del 80% al 89%;Expectativas del trimestre entrante;2022T2;25,6
Del 80% al 89%;Expectativas del trimestre entrante;2022T1;25,9
Del 80% al 89%;Expectativas del trimestre entrante;2021T4;27,3
Del 80% al 89%;Expectativas del trimestre entrante;2021T3;25,3
Del 80% al 89%;Expectativas del trimestre entrante;2021T2;23,3
Del 80% al 89%;Expectativas del trimestre entrante;2021T1;23,5
Del 90% al 100%;Situación del trimestre anterior;2025T2;21,1
Del 90% al 100%;Situación del trimestre anterior;2025T1;22,4
Del 90% al 100%;Situación del trimestre anterior;2024T4;20,8
Del 90% al 100%;Situación del trimestre anterior;2024T3;22,7
Del 90% al 100%;Situación del trimestre anterior;2024T2;20,4
Del 90% al 100%;Situación del trimestre anterior;2024T1;22,9
Del 90% al 100%;Situación del trimestre anterior;2023T4;20,8
Del 90% al 100%;Situación del trimestre anterior;2023T3;22,4
Del 90% al 100%;Situación del trimestre anterior;2023T2;20,5
Del 90% al 100%;Situación del trimestre anterior;2023T1;21,7
Del 90% al 100%;Situación del trimestre anterior;2022T4;20,6
Del 90% al 100%;Situación del trimestre anterior;2022T3;20,9
Del 90% al 100%;Situación del trimestre anterior;2022T2;20,7
Del 90% al 100%;Situación del trimestre anterior;2022T1;22,5
Del 90% al 100%;Situación del trimestre anterior;2021T4;20,8
Del 90% al 100%;Situación del trimestre anterior;2021T3;19,8
Del 90% al 100%;Situación del trimestre anterior;2021T2;18,5
Del 90% al 100%;Situación del trimestre anterior;2021T1;16,7
Del 90% al 100%;Expectativas del trimestre entrante;2025T2;23
Del 90% al 100%;Expectativas del trimestre entrante;2025T1;21,3
Del 90% al 100%;Expectativas del trimestre entrante;2024T4;22,4
Del 90% al 100%;Expectativas del trimestre entrante;2024T3;25
Del 90% al 100%;Expectativas del trimestre entrante;2024T2;23,8
Del 90% al 100%;Expectativas del trimestre entrante;2024T1;22,2
Del 90% al 100%;Expectativas del trimestre entrante;2023T4;23
Del 90% al 100%;Expectativas del trimestre entrante;2023T3;23,1
Del 90% al 100%;Expectativas del trimestre entrante;2023T2;22,1
Del 90% al 100%;Expectativas del trimestre entrante;2023T1;20,5
Del 90% al 100%;Expectativas del trimestre entrante;2022T4;20,4
Del 90% al 100%;Expectativas del trimestre entrante;2022T3;22,1
Del 90% al 100%;Expectativas del trimestre entrante;2022T2;19,6
Del 90% al 100%;Expectativas del trimestre entrante;2022T1;22,1
Del 90% al 100%;Expectativas del trimestre entrante;2021T4;21,1
Del 90% al 100%;Expectativas del trimestre entrante;2021T3;21,5
Del 90% al 100%;Expectativas del trimestre entrante;2021T2;20
Del 90% al 100%;Expectativas del trimestre entrante;2021T1;16,4
