Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;03 Asturias Principado de;Carbón y derivados;2009;12009
Total Nacional;03 Asturias Principado de;Carbón y coque;2013;12867
Total Nacional;03 Asturias Principado de;Carbón y coque;2011;
Total Nacional;03 Asturias Principado de;Carbón y coque;2009;
Total Nacional;03 Asturias Principado de;Biocombustibles;2013;8523
Total Nacional;03 Asturias Principado de;Biocombustibles;2011;
Total Nacional;03 Asturias Principado de;Biocombustibles;2009;
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2013;436
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2011;
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2009;
Total Nacional;03 Asturias Principado de;Otros consumos energéticos;2013;
Total Nacional;03 Asturias Principado de;Otros consumos energéticos;2011;21654
Total Nacional;03 Asturias Principado de;Otros consumos energéticos;2009;8264
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2013;561954
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2011;570057
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2009;513672
Total Nacional;04 Balears Illes;Electricidad;2013;14715
Total Nacional;04 Balears Illes;Electricidad;2011;14733
Total Nacional;04 Balears Illes;Electricidad;2009;17214
Total Nacional;04 Balears Illes;Gas;2013;782
Total Nacional;04 Balears Illes;Gas;2011;5764
Total Nacional;04 Balears Illes;Gas;2009;591
Total Nacional;04 Balears Illes;Gasóleo;2013;4035
Total Nacional;04 Balears Illes;Gasóleo;2011;5811
Total Nacional;04 Balears Illes;Gasóleo;2009;8823
Total Nacional;04 Balears Illes;Fueloil;2013;378
Total Nacional;04 Balears Illes;Fueloil;2011;243
Total Nacional;04 Balears Illes;Fueloil;2009;516
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2013;735
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2011;1291
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2009;472
Total Nacional;04 Balears Illes;Carbón y derivados;2013;
Total Nacional;04 Balears Illes;Carbón y derivados;2011;2017
Total Nacional;04 Balears Illes;Carbón y derivados;2009;2873
Total Nacional;04 Balears Illes;Carbón y coque;2013;1694
Total Nacional;04 Balears Illes;Carbón y coque;2011;
Total Nacional;04 Balears Illes;Carbón y coque;2009;
Total Nacional;04 Balears Illes;Biocombustibles;2013;257
Total Nacional;04 Balears Illes;Biocombustibles;2011;
Total Nacional;04 Balears Illes;Biocombustibles;2009;
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2013;145
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2011;
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2009;
Total Nacional;04 Balears Illes;Otros consumos energéticos;2013;
Total Nacional;04 Balears Illes;Otros consumos energéticos;2011;348
Total Nacional;04 Balears Illes;Otros consumos energéticos;2009;278
Total Nacional;04 Balears Illes;Total consumos energéticos;2013;2978
Total Nacional;04 Balears Illes;Total consumos energéticos;2011;30206
Total Nacional;04 Balears Illes;Total consumos energéticos;2009;36086
Total Nacional;05 Canarias;Electricidad;2013;4247
Total Nacional;05 Canarias;Electricidad;2011;46726
Total Nacional;05 Canarias;Electricidad;2009;3978
Total Nacional;05 Canarias;Gas;2013;15333
Total Nacional;05 Canarias;Gas;2011;18775
Total Nacional;05 Canarias;Gas;2009;6512
Total Nacional;05 Canarias;Gasóleo;2013;15898
Total Nacional;05 Canarias;Gasóleo;2011;24178
Total Nacional;05 Canarias;Gasóleo;2009;17752
Total Nacional;05 Canarias;Fueloil;2013;6177
Total Nacional;05 Canarias;Fueloil;2011;9956
Total Nacional;05 Canarias;Fueloil;2009;3694
Total Nacional;05 Canarias;Otros productos petrolíferos;2013;2967
Total Nacional;05 Canarias;Otros productos petrolíferos;2011;538
Total Nacional;05 Canarias;Otros productos petrolíferos;2009;38
Total Nacional;05 Canarias;Carbón y derivados;2013;
Total Nacional;05 Canarias;Carbón y derivados;2011;640
Total Nacional;05 Canarias;Carbón y derivados;2009;26
Total Nacional;05 Canarias;Carbón y coque;2013;1549
Total Nacional;05 Canarias;Carbón y coque;2011;
Total Nacional;05 Canarias;Carbón y coque;2009;
Total Nacional;05 Canarias;Biocombustibles;2013;114
Total Nacional;05 Canarias;Biocombustibles;2011;
Total Nacional;05 Canarias;Biocombustibles;2009;
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2013;2445
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2011;
Total Nacional;05 Canarias;Calor y otros consumos energéticos;2009;
Total Nacional;05 Canarias;Otros consumos energéticos;2013;
