Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2011;548117
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2009;517199
Total Nacional;14 Murcia Región de;Electricidad;2013;168615
Total Nacional;14 Murcia Región de;Electricidad;2011;154864
Total Nacional;14 Murcia Región de;Electricidad;2009;12376
Total Nacional;14 Murcia Región de;Gas;2013;62674
Total Nacional;14 Murcia Región de;Gas;2011;77118
Total Nacional;14 Murcia Región de;Gas;2009;37813
Total Nacional;14 Murcia Región de;Gasóleo;2013;30913
Total Nacional;14 Murcia Región de;Gasóleo;2011;27849
Total Nacional;14 Murcia Región de;Gasóleo;2009;30497
Total Nacional;14 Murcia Región de;Fueloil;2013;354
Total Nacional;14 Murcia Región de;Fueloil;2011;6047
Total Nacional;14 Murcia Región de;Fueloil;2009;7058
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2013;2275
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2011;2967
Total Nacional;14 Murcia Región de;Otros productos petrolíferos;2009;3559
Total Nacional;14 Murcia Región de;Carbón y derivados;2013;
Total Nacional;14 Murcia Región de;Carbón y derivados;2011;1402
Total Nacional;14 Murcia Región de;Carbón y derivados;2009;1377
Total Nacional;14 Murcia Región de;Carbón y coque;2013;4433
Total Nacional;14 Murcia Región de;Carbón y coque;2011;
Total Nacional;14 Murcia Región de;Carbón y coque;2009;
Total Nacional;14 Murcia Región de;Biocombustibles;2013;582
Total Nacional;14 Murcia Región de;Biocombustibles;2011;
Total Nacional;14 Murcia Región de;Biocombustibles;2009;
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2013;55761
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2011;
Total Nacional;14 Murcia Región de;Calor y otros consumos energéticos;2009;
Total Nacional;14 Murcia Región de;Otros consumos energéticos;2013;
Total Nacional;14 Murcia Región de;Otros consumos energéticos;2011;50415
Total Nacional;14 Murcia Región de;Otros consumos energéticos;2009;3258
Total Nacional;14 Murcia Región de;Total consumos energéticos;2013;328793
Total Nacional;14 Murcia Región de;Total consumos energéticos;2011;320662
Total Nacional;14 Murcia Región de;Total consumos energéticos;2009;207321
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2013;197183
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2011;206324
Total Nacional;15 Navarra Comunidad Foral de;Electricidad;2009;171774
Total Nacional;15 Navarra Comunidad Foral de;Gas;2013;150554
Total Nacional;15 Navarra Comunidad Foral de;Gas;2011;133563
Total Nacional;15 Navarra Comunidad Foral de;Gas;2009;106038
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2013;19291
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2011;25212
Total Nacional;15 Navarra Comunidad Foral de;Gasóleo;2009;21068
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2013;4244
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2011;5811
Total Nacional;15 Navarra Comunidad Foral de;Fueloil;2009;2221
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2013;135
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2011;2865
Total Nacional;15 Navarra Comunidad Foral de;Otros productos petrolíferos;2009;2811
Total Nacional;15 Navarra Comunidad Foral de;Carbón y derivados;2013;
Total Nacional;15 Navarra Comunidad Foral de;Carbón y derivados;2011;1907
Total Nacional;15 Navarra Comunidad Foral de;Carbón y derivados;2009;11258
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2013;17565
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2011;
Total Nacional;15 Navarra Comunidad Foral de;Carbón y coque;2009;
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2013;4171
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2011;
Total Nacional;15 Navarra Comunidad Foral de;Biocombustibles;2009;
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2013;13517
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2011;
Total Nacional;15 Navarra Comunidad Foral de;Calor y otros consumos energéticos;2009;
Total Nacional;15 Navarra Comunidad Foral de;Otros consumos energéticos;2013;
Total Nacional;15 Navarra Comunidad Foral de;Otros consumos energéticos;2011;16326
Total Nacional;15 Navarra Comunidad Foral de;Otros consumos energéticos;2009;88
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2013;407875
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2011;40917
Total Nacional;15 Navarra Comunidad Foral de;Total consumos energéticos;2009;32397
Total Nacional;16 País Vasco;Electricidad;2013;624252
Total Nacional;16 País Vasco;Electricidad;2011;672961
Total Nacional;16 País Vasco;Electricidad;2009;588863
Total Nacional;16 País Vasco;Gas;2013;453306
Total Nacional;16 País Vasco;Gas;2011;433437
Total Nacional;16 País Vasco;Gas;2009;293776
Total Nacional;16 País Vasco;Gasóleo;2013;36474
Total Nacional;16 País Vasco;Gasóleo;2011;44499
Total Nacional;16 País Vasco;Gasóleo;2009;4611
Total Nacional;16 País Vasco;Fueloil;2013;12271
Total Nacional;16 País Vasco;Fueloil;2011;10876
Total Nacional;16 País Vasco;Fueloil;2009;7425
Total Nacional;16 País Vasco;Otros productos petrolíferos;2013;10952
Total Nacional;16 País Vasco;Otros productos petrolíferos;2011;8922
Total Nacional;16 País Vasco;Otros productos petrolíferos;2009;8509
Total Nacional;16 País Vasco;Carbón y derivados;2013;
Total Nacional;16 País Vasco;Carbón y derivados;2011;17511
Total Nacional;16 País Vasco;Carbón y derivados;2009;15871
Total Nacional;16 País Vasco;Carbón y coque;2013;12246
Total Nacional;16 País Vasco;Carbón y coque;2011;
Total Nacional;16 País Vasco;Carbón y coque;2009;
Total Nacional;16 País Vasco;Biocombustibles;2013;3707
Total Nacional;16 País Vasco;Biocombustibles;2011;
Total Nacional;16 País Vasco;Biocombustibles;2009;
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2013;18793
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2011;
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2009;
Total Nacional;16 País Vasco;Otros consumos energéticos;2013;
Total Nacional;16 País Vasco;Otros consumos energéticos;2011;12266
Total Nacional;16 País Vasco;Otros consumos energéticos;2009;3445
Total Nacional;16 País Vasco;Total consumos energéticos;2013;1172001
Total Nacional;16 País Vasco;Total consumos energéticos;2011;1200472
Total Nacional;16 País Vasco;Total consumos energéticos;2009;995002
Total Nacional;17 Rioja La;Electricidad;2013;48928
Total Nacional;17 Rioja La;Electricidad;2011;47251
Total Nacional;17 Rioja La;Electricidad;2009;43728
Total Nacional;17 Rioja La;Gas;2013;19516
Total Nacional;17 Rioja La;Gas;2011;2224
Total Nacional;17 Rioja La;Gas;2009;18761
Total Nacional;17 Rioja La;Gasóleo;2013;12332
Total Nacional;17 Rioja La;Gasóleo;2011;11506
Total Nacional;17 Rioja La;Gasóleo;2009;12665
Total Nacional;17 Rioja La;Fueloil;2013;7173
Total Nacional;17 Rioja La;Fueloil;2011;6171
Total Nacional;17 Rioja La;Fueloil;2009;5876
Total Nacional;17 Rioja La;Otros productos petrolíferos;2013;1688
Total Nacional;17 Rioja La;Otros productos petrolíferos;2011;1463
Total Nacional;17 Rioja La;Otros productos petrolíferos;2009;1525
Total Nacional;17 Rioja La;Carbón y derivados;2013;
Total Nacional;17 Rioja La;Carbón y derivados;2011;280
Total Nacional;17 Rioja La;Carbón y derivados;2009;346
Total Nacional;17 Rioja La;Carbón y coque;2013;302
Total Nacional;17 Rioja La;Carbón y coque;2011;
Total Nacional;17 Rioja La;Carbón y coque;2009;
Total Nacional;17 Rioja La;Biocombustibles;2013;573
Total Nacional;17 Rioja La;Biocombustibles;2011;
Total Nacional;17 Rioja La;Biocombustibles;2009;
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2013;1061
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2011;
Total Nacional;17 Rioja La;Calor y otros consumos energéticos;2009;
Total Nacional;17 Rioja La;Otros consumos energéticos;2013;
Total Nacional;17 Rioja La;Otros consumos energéticos;2011;1895
Total Nacional;17 Rioja La;Otros consumos energéticos;2009;1026
Total Nacional;17 Rioja La;Total consumos energéticos;2013;91572
Total Nacional;17 Rioja La;Total consumos energéticos;2011;90807
Total Nacional;17 Rioja La;Total consumos energéticos;2009;83927
Total Nacional;18 Ceuta;Electricidad;2013;
Total Nacional;18 Ceuta;Electricidad;2011;
Total Nacional;18 Ceuta;Electricidad;2009;
Total Nacional;18 Ceuta;Gas;2013;
Total Nacional;18 Ceuta;Gas;2011;
Total Nacional;18 Ceuta;Gas;2009;
Total Nacional;18 Ceuta;Gasóleo;2013;
Total Nacional;18 Ceuta;Gasóleo;2011;
Total Nacional;18 Ceuta;Gasóleo;2009;
Total Nacional;18 Ceuta;Fueloil;2013;
Total Nacional;18 Ceuta;Fueloil;2011;
Total Nacional;18 Ceuta;Fueloil;2009;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2013;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2011;
Total Nacional;18 Ceuta;Otros productos petrolíferos;2009;
Total Nacional;18 Ceuta;Carbón y derivados;2013;
Total Nacional;18 Ceuta;Carbón y derivados;2011;
Total Nacional;18 Ceuta;Carbón y derivados;2009;
Total Nacional;18 Ceuta;Carbón y coque;2013;
Total Nacional;18 Ceuta;Carbón y coque;2011;
Total Nacional;18 Ceuta;Carbón y coque;2009;
Total Nacional;18 Ceuta;Biocombustibles;2013;
Total Nacional;18 Ceuta;Biocombustibles;2011;
Total Nacional;18 Ceuta;Biocombustibles;2009;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2013;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2011;
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2009;
Total Nacional;18 Ceuta;Otros consumos energéticos;2013;
Total Nacional;18 Ceuta;Otros consumos energéticos;2011;
Total Nacional;18 Ceuta;Otros consumos energéticos;2009;
Total Nacional;18 Ceuta;Total consumos energéticos;2013;
Total Nacional;18 Ceuta;Total consumos energéticos;2011;
Total Nacional;18 Ceuta;Total consumos energéticos;2009;
Total Nacional;19 Melilla;Electricidad;2013;
Total Nacional;19 Melilla;Electricidad;2011;
Total Nacional;19 Melilla;Electricidad;2009;
Total Nacional;19 Melilla;Gas;2013;
Total Nacional;19 Melilla;Gas;2011;
Total Nacional;19 Melilla;Gas;2009;
Total Nacional;19 Melilla;Gasóleo;2013;
Total Nacional;19 Melilla;Gasóleo;2011;
Total Nacional;19 Melilla;Gasóleo;2009;
Total Nacional;19 Melilla;Fueloil;2013;
Total Nacional;19 Melilla;Fueloil;2011;
Total Nacional;19 Melilla;Fueloil;2009;
Total Nacional;19 Melilla;Otros productos petrolíferos;2013;
Total Nacional;19 Melilla;Otros productos petrolíferos;2011;
Total Nacional;19 Melilla;Otros productos petrolíferos;2009;
Total Nacional;19 Melilla;Carbón y derivados;2013;
Total Nacional;19 Melilla;Carbón y derivados;2011;
Total Nacional;19 Melilla;Carbón y derivados;2009;
Total Nacional;19 Melilla;Carbón y coque;2013;
Total Nacional;19 Melilla;Carbón y coque;2011;
Total Nacional;19 Melilla;Carbón y coque;2009;
Total Nacional;19 Melilla;Biocombustibles;2013;
Total Nacional;19 Melilla;Biocombustibles;2011;
Total Nacional;19 Melilla;Biocombustibles;2009;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2013;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2011;
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2009;
Total Nacional;19 Melilla;Otros consumos energéticos;2013;
Total Nacional;19 Melilla;Otros consumos energéticos;2011;
Total Nacional;19 Melilla;Otros consumos energéticos;2009;
Total Nacional;19 Melilla;Total consumos energéticos;2013;
Total Nacional;19 Melilla;Total consumos energéticos;2011;
Total Nacional;19 Melilla;Total consumos energéticos;2009;
Total Nacional;;Electricidad;2023;8500846
Total Nacional;;Electricidad;2022;14319055
Total Nacional;;Electricidad;2021;8892228
Total Nacional;;Electricidad;2019;6367976
Total Nacional;;Electricidad;2017;6227459
Total Nacional;;Electricidad;2015;6177084
Total Nacional;;Gas;2023;5117234
Total Nacional;;Gas;2022;7680920
Total Nacional;;Gas;2021;3817158
Total Nacional;;Gas;2019;3371337
Total Nacional;;Gas;2017;2981674
Total Nacional;;Gas;2015;3445307
Total Nacional;;Gasóleo;2023;719311
Total Nacional;;Gasóleo;2022;748347
Total Nacional;;Gasóleo;2021;592139
Total Nacional;;Gasóleo;2019;678354
Total Nacional;;Gasóleo;2017;587170
Total Nacional;;Gasóleo;2015;580488
Total Nacional;;Fueloil;2023;61961
Total Nacional;;Fueloil;2022;104831
Total Nacional;;Fueloil;2021;72771
Total Nacional;;Fueloil;2019;99137
Total Nacional;;Fueloil;2017;85978
Total Nacional;;Fueloil;2015;102731
Total Nacional;;Otros productos petrolíferos;2023;255594
Total Nacional;;Otros productos petrolíferos;2022;298979
Total Nacional;;Otros productos petrolíferos;2021;82206
Total Nacional;;Otros productos petrolíferos;2019;99862
Total Nacional;;Otros productos petrolíferos;2017;106862
Total Nacional;;Otros productos petrolíferos;2015;70418
Total Nacional;;Carbón y coque;2023;42063
Total Nacional;;Carbón y coque;2022;63928
Total Nacional;;Carbón y coque;2021;110110
Total Nacional;;Carbón y coque;2019;104630
Total Nacional;;Carbón y coque;2017;151522
Total Nacional;;Carbón y coque;2015;151191
Total Nacional;;Biocombustibles;2023;103196
Total Nacional;;Biocombustibles;2022;109393
Total Nacional;;Biocombustibles;2021;36055
Total Nacional;;Biocombustibles;2019;44727
Total Nacional;;Biocombustibles;2017;27910
Total Nacional;;Biocombustibles;2015;66250
Total Nacional;;Calor y otros consumos energéticos;2023;747944
Total Nacional;;Calor y otros consumos energéticos;2022;1330020
Total Nacional;;Calor y otros consumos energéticos;2021;651504
Total Nacional;;Calor y otros consumos energéticos;2019;460987
Total Nacional;;Calor y otros consumos energéticos;2017;353763
Total Nacional;;Calor y otros consumos energéticos;2015;364029
Total Nacional;;Total consumos energéticos;2023;15548149
Total Nacional;;Total consumos energéticos;2022;24655473
Total Nacional;;Total consumos energéticos;2021;14254170
Total Nacional;;Total consumos energéticos;2019;11227010
Total Nacional;;Total consumos energéticos;2017;10522338
Total Nacional;;Total consumos energéticos;2015;10957497
Total Nacional;01 Andalucía;Electricidad;2023;932949
Total Nacional;01 Andalucía;Electricidad;2022;1653989
Total Nacional;01 Andalucía;Electricidad;2021;941599
Total Nacional;01 Andalucía;Electricidad;2019;637486
Total Nacional;01 Andalucía;Electricidad;2017;603104
Total Nacional;01 Andalucía;Electricidad;2015;572742
Total Nacional;01 Andalucía;Gas;2023;556546
Total Nacional;01 Andalucía;Gas;2022;830160
Total Nacional;01 Andalucía;Gas;2021;448222
Total Nacional;01 Andalucía;Gas;2019;407682
Total Nacional;01 Andalucía;Gas;2017;351460
Total Nacional;01 Andalucía;Gas;2015;385367
Total Nacional;01 Andalucía;Gasóleo;2023;110075
Total Nacional;01 Andalucía;Gasóleo;2022;98434
Total Nacional;01 Andalucía;Gasóleo;2021;83666
Total Nacional;01 Andalucía;Gasóleo;2019;87652
Total Nacional;01 Andalucía;Gasóleo;2017;71308
Total Nacional;01 Andalucía;Gasóleo;2015;60586
Total Nacional;01 Andalucía;Fueloil;2023;6560
Total Nacional;01 Andalucía;Fueloil;2022;10270
Total Nacional;01 Andalucía;Fueloil;2021;5589
Total Nacional;01 Andalucía;Fueloil;2019;9839
Total Nacional;01 Andalucía;Fueloil;2017;9707
Total Nacional;01 Andalucía;Fueloil;2015;5908
Total Nacional;01 Andalucía;Otros productos petrolíferos;2023;36578
Total Nacional;01 Andalucía;Otros productos petrolíferos;2022;35049
Total Nacional;01 Andalucía;Otros productos petrolíferos;2021;10508
Total Nacional;01 Andalucía;Otros productos petrolíferos;2019;29004
Total Nacional;01 Andalucía;Otros productos petrolíferos;2017;29756
Total Nacional;01 Andalucía;Otros productos petrolíferos;2015;7856
Total Nacional;01 Andalucía;Carbón y coque;2023;3634
Total Nacional;01 Andalucía;Carbón y coque;2022;2925
Total Nacional;01 Andalucía;Carbón y coque;2021;5605
Total Nacional;01 Andalucía;Carbón y coque;2019;7733
Total Nacional;01 Andalucía;Carbón y coque;2017;21324
Total Nacional;01 Andalucía;Carbón y coque;2015;18166
Total Nacional;01 Andalucía;Biocombustibles;2023;15239
Total Nacional;01 Andalucía;Biocombustibles;2022;11797
Total Nacional;01 Andalucía;Biocombustibles;2021;6302
Total Nacional;01 Andalucía;Biocombustibles;2019;4155
Total Nacional;01 Andalucía;Biocombustibles;2017;3213
Total Nacional;01 Andalucía;Biocombustibles;2015;13669
Total Nacional;01 Andalucía;Calor y otros consumos energéticos;2023;159074
Total Nacional;01 Andalucía;Calor y otros consumos energéticos;2022;287084
Total Nacional;01 Andalucía;Calor y otros consumos energéticos;2021;97875
Total Nacional;01 Andalucía;Calor y otros consumos energéticos;2019;75753
Total Nacional;01 Andalucía;Calor y otros consumos energéticos;2017;72293
Total Nacional;01 Andalucía;Calor y otros consumos energéticos;2015;108900
Total Nacional;01 Andalucía;Total consumos energéticos;2023;1820655
Total Nacional;01 Andalucía;Total consumos energéticos;2022;2929708
Total Nacional;01 Andalucía;Total consumos energéticos;2021;1599367
Total Nacional;01 Andalucía;Total consumos energéticos;2019;1259305
Total Nacional;01 Andalucía;Total consumos energéticos;2017;1162165
Total Nacional;01 Andalucía;Total consumos energéticos;2015;1173194
Total Nacional;02 Aragón;Electricidad;2023;451772
Total Nacional;02 Aragón;Electricidad;2022;736139
Total Nacional;02 Aragón;Electricidad;2021;477683
Total Nacional;02 Aragón;Electricidad;2019;327440
Total Nacional;02 Aragón;Electricidad;2017;294327
Total Nacional;02 Aragón;Electricidad;2015;317739
Total Nacional;02 Aragón;Gas;2023;267655
Total Nacional;02 Aragón;Gas;2022;306174
Total Nacional;02 Aragón;Gas;2021;163788
Total Nacional;02 Aragón;Gas;2019;134065
Total Nacional;02 Aragón;Gas;2017;112729
Total Nacional;02 Aragón;Gas;2015;139081
Total Nacional;02 Aragón;Gasóleo;2023;35451
Total Nacional;02 Aragón;Gasóleo;2022;35578
Total Nacional;02 Aragón;Gasóleo;2021;36951
Total Nacional;02 Aragón;Gasóleo;2019;28400
Total Nacional;02 Aragón;Gasóleo;2017;32044
Total Nacional;02 Aragón;Gasóleo;2015;32079
Total Nacional;02 Aragón;Fueloil;2023;1816
Total Nacional;02 Aragón;Fueloil;2022;1210
Total Nacional;02 Aragón;Fueloil;2021;2499
Total Nacional;02 Aragón;Fueloil;2019;2527
Total Nacional;02 Aragón;Fueloil;2017;3636
Total Nacional;02 Aragón;Fueloil;2015;2722
Total Nacional;02 Aragón;Otros productos petrolíferos;2023;10553
Total Nacional;02 Aragón;Otros productos petrolíferos;2022;8106
Total Nacional;02 Aragón;Otros productos petrolíferos;2021;2563
Total Nacional;02 Aragón;Otros productos petrolíferos;2019;5953
Total Nacional;02 Aragón;Otros productos petrolíferos;2017;2251
Total Nacional;02 Aragón;Otros productos petrolíferos;2015;3179
Total Nacional;02 Aragón;Carbón y coque;2023;974
Total Nacional;02 Aragón;Carbón y coque;2022;409
Total Nacional;02 Aragón;Carbón y coque;2021;3573
Total Nacional;02 Aragón;Carbón y coque;2019;3781
Total Nacional;02 Aragón;Carbón y coque;2017;7032
Total Nacional;02 Aragón;Carbón y coque;2015;5918
Total Nacional;02 Aragón;Biocombustibles;2023;7632
Total Nacional;02 Aragón;Biocombustibles;2022;3723
Total Nacional;02 Aragón;Biocombustibles;2021;3052
Total Nacional;02 Aragón;Biocombustibles;2019;3025
Total Nacional;02 Aragón;Biocombustibles;2017;1466
Total Nacional;02 Aragón;Biocombustibles;2015;2082
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2023;3424
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2022;4948
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2021;4518
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2019;4274
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2017;4041
Total Nacional;02 Aragón;Calor y otros consumos energéticos;2015;4021
Total Nacional;02 Aragón;Total consumos energéticos;2023;779276
Total Nacional;02 Aragón;Total consumos energéticos;2022;1096288
Total Nacional;02 Aragón;Total consumos energéticos;2021;694626
Total Nacional;02 Aragón;Total consumos energéticos;2019;509464
Total Nacional;02 Aragón;Total consumos energéticos;2017;457525
Total Nacional;02 Aragón;Total consumos energéticos;2015;506822
Total Nacional;03 Asturias Principado de;Electricidad;2023;458148
Total Nacional;03 Asturias Principado de;Electricidad;2022;936136
Total Nacional;03 Asturias Principado de;Electricidad;2021;543877
Total Nacional;03 Asturias Principado de;Electricidad;2019;316955
Total Nacional;03 Asturias Principado de;Electricidad;2017;304714
Total Nacional;03 Asturias Principado de;Electricidad;2015;327559
Total Nacional;03 Asturias Principado de;Gas;2023;144069
Total Nacional;03 Asturias Principado de;Gas;2022;283772
Total Nacional;03 Asturias Principado de;Gas;2021;174503
Total Nacional;03 Asturias Principado de;Gas;2019;116136
Total Nacional;03 Asturias Principado de;Gas;2017;95456
Total Nacional;03 Asturias Principado de;Gas;2015;108397
Total Nacional;03 Asturias Principado de;Gasóleo;2023;18561
Total Nacional;03 Asturias Principado de;Gasóleo;2022;18895
Total Nacional;03 Asturias Principado de;Gasóleo;2021;11665
Total Nacional;03 Asturias Principado de;Gasóleo;2019;13795
Total Nacional;03 Asturias Principado de;Gasóleo;2017;13952
Total Nacional;03 Asturias Principado de;Gasóleo;2015;14581
Total Nacional;03 Asturias Principado de;Fueloil;2023;8192
Total Nacional;03 Asturias Principado de;Fueloil;2022;21144
Total Nacional;03 Asturias Principado de;Fueloil;2021;4175
Total Nacional;03 Asturias Principado de;Fueloil;2019;4918
Total Nacional;03 Asturias Principado de;Fueloil;2017;3462
Total Nacional;03 Asturias Principado de;Fueloil;2015;5447
Total Nacional;03 Asturias Principado de;Otros productos petrolíferos;2023;17179
Total Nacional;03 Asturias Principado de;Otros productos petrolíferos;2022;16215
Total Nacional;03 Asturias Principado de;Otros productos petrolíferos;2021;1906
Total Nacional;03 Asturias Principado de;Otros productos petrolíferos;2019;1242
Total Nacional;03 Asturias Principado de;Otros productos petrolíferos;2017;4874
Total Nacional;03 Asturias Principado de;Otros productos petrolíferos;2015;3840
Total Nacional;03 Asturias Principado de;Carbón y coque;2023;1559
Total Nacional;03 Asturias Principado de;Carbón y coque;2022;2654
Total Nacional;03 Asturias Principado de;Carbón y coque;2021;10198
Total Nacional;03 Asturias Principado de;Carbón y coque;2019;9167
Total Nacional;03 Asturias Principado de;Carbón y coque;2017;9061
Total Nacional;03 Asturias Principado de;Carbón y coque;2015;11467
Total Nacional;03 Asturias Principado de;Biocombustibles;2023;845
Total Nacional;03 Asturias Principado de;Biocombustibles;2022;2599
Total Nacional;03 Asturias Principado de;Biocombustibles;2021;174
Total Nacional;03 Asturias Principado de;Biocombustibles;2019;125
Total Nacional;03 Asturias Principado de;Biocombustibles;2017;341
Total Nacional;03 Asturias Principado de;Biocombustibles;2015;10009
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2023;42650
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2022;72221
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2021;55972
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2019;39528
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2017;26413
Total Nacional;03 Asturias Principado de;Calor y otros consumos energéticos;2015;13883
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2023;691202
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2022;1353638
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2021;802470
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2019;501867
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2017;458272
Total Nacional;03 Asturias Principado de;Total consumos energéticos;2015;495183
Total Nacional;04 Balears Illes;Electricidad;2023;17245
Total Nacional;04 Balears Illes;Electricidad;2022;25137
Total Nacional;04 Balears Illes;Electricidad;2021;12505
Total Nacional;04 Balears Illes;Electricidad;2019;16421
Total Nacional;04 Balears Illes;Electricidad;2017;14537
Total Nacional;04 Balears Illes;Electricidad;2015;14761
Total Nacional;04 Balears Illes;Gas;2023;4929
Total Nacional;04 Balears Illes;Gas;2022;2997
Total Nacional;04 Balears Illes;Gas;2021;5794
Total Nacional;04 Balears Illes;Gas;2019;4533
Total Nacional;04 Balears Illes;Gas;2017;3750
Total Nacional;04 Balears Illes;Gas;2015;4801
Total Nacional;04 Balears Illes;Gasóleo;2023;6517
Total Nacional;04 Balears Illes;Gasóleo;2022;5142
Total Nacional;04 Balears Illes;Gasóleo;2021;3623
Total Nacional;04 Balears Illes;Gasóleo;2019;4165
Total Nacional;04 Balears Illes;Gasóleo;2017;3522
Total Nacional;04 Balears Illes;Gasóleo;2015;3929
Total Nacional;04 Balears Illes;Fueloil;2023;106
Total Nacional;04 Balears Illes;Fueloil;2022;768
Total Nacional;04 Balears Illes;Fueloil;2021;177
Total Nacional;04 Balears Illes;Fueloil;2019;422
Total Nacional;04 Balears Illes;Fueloil;2017;223
Total Nacional;04 Balears Illes;Fueloil;2015;198
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2023;1601
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2022;2499
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2021;822
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2019;458
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2017;374
Total Nacional;04 Balears Illes;Otros productos petrolíferos;2015;257
Total Nacional;04 Balears Illes;Carbón y coque;2023;22
Total Nacional;04 Balears Illes;Carbón y coque;2022;17
Total Nacional;04 Balears Illes;Carbón y coque;2021;914
Total Nacional;04 Balears Illes;Carbón y coque;2019;1552
Total Nacional;04 Balears Illes;Carbón y coque;2017;3682
Total Nacional;04 Balears Illes;Carbón y coque;2015;3609
Total Nacional;04 Balears Illes;Biocombustibles;2023;170
Total Nacional;04 Balears Illes;Biocombustibles;2022;558
Total Nacional;04 Balears Illes;Biocombustibles;2021;158
Total Nacional;04 Balears Illes;Biocombustibles;2019;518
Total Nacional;04 Balears Illes;Biocombustibles;2017;218
Total Nacional;04 Balears Illes;Biocombustibles;2015;434
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2023;59
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2022;217
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2021;30
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2019;78
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2017;135
Total Nacional;04 Balears Illes;Calor y otros consumos energéticos;2015;123
Total Nacional;04 Balears Illes;Total consumos energéticos;2023;30648
Total Nacional;04 Balears Illes;Total consumos energéticos;2022;37335
Total Nacional;04 Balears Illes;Total consumos energéticos;2021;24023
Total Nacional;04 Balears Illes;Total consumos energéticos;2019;28148
Total Nacional;04 Balears Illes;Total consumos energéticos;2017;26442
Total Nacional;04 Balears Illes;Total consumos energéticos;2015;28112
Total Nacional;05 Canarias;Electricidad;2023;44897
Total Nacional;05 Canarias;Electricidad;2022;55808
Total Nacional;05 Canarias;Electricidad;2021;38048
Total Nacional;05 Canarias;Electricidad;2019;34048
Total Nacional;05 Canarias;Electricidad;2017;31958
Total Nacional;05 Canarias;Electricidad;2015;32801
Total Nacional;05 Canarias;Gas;2023;4519
Total Nacional;05 Canarias;Gas;2022;4457
