Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Forma jurídica;Número de sociedades y capital (en miles de euros);Periodo;Total
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2017;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2016;6
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2015;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2014;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2013;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2012;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2011;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2010;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2009;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2008;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2007;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2006;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2005;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2004;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2003;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2002;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2001;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2000;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2023;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2022;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2021;3
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2020;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2019;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2018;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2017;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2016;6
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2015;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2014;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2013;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2012;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2011;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2010;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2009;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2008;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2007;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2006;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2005;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2004;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2003;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2002;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2001;0
Total Nacional;01 Andalucía;18 Granada;S COM, S COM PA y SC;capital (en miles de euros) desembolsado;2000;0
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2023;699
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2022;707
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2021;705
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2020;649
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2019;665
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2018;667
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2017;664
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2016;726
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2015;733
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2014;765
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2013;734
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2012;714
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2011;645
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2010;602
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2009;576
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2008;744
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2007;1093
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2006;1131
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2005;1188
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2004;930
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2003;906
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2002;893
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2001;802
Total Nacional;01 Andalucía;21 Huelva;Total;Número de Sociedades;2000;847
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2023;22378
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2022;10316
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2021;13642
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2020;21552
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2019;14211
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2018;8801
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2017;9088
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2016;24317
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2015;17580
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2014;26061
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2013;28093
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2012;39032
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2011;29054
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2010;10083
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2009;10443
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2008;14088
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2007;33198
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2006;38221
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2005;38779
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2004;23302
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2003;21720
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2002;27690
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2001;30032
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) suscrito;2000;36040
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2023;22378
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2022;10316
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2021;13642
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2020;21552
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2019;14185
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2018;8801
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2017;9088
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2016;24317
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2015;17580
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2014;26061
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2013;28093
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2012;39032
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2011;28988
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2010;10083
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2009;10398
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2008;13812
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2007;33093
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2006;34471
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2005;38101
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2004;22566
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2003;21657
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2002;27494
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2001;28919
Total Nacional;01 Andalucía;21 Huelva;Total;capital (en miles de euros) desembolsado;2000;2300356
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2023;2
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2022;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2021;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2020;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2019;2
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2018;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2017;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2016;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2015;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2014;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2013;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2012;0
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2011;2
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2010;2
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2009;4
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2008;4
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2007;7
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2006;11
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2005;13
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2004;12
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2003;12
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2002;19
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2001;17
Total Nacional;01 Andalucía;21 Huelva;SA;Número de Sociedades;2000;16
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2023;2440
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2022;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2021;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2020;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2019;165
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2018;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2017;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2016;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2015;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2014;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2013;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2012;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2011;121
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2010;120
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2009;154
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2008;693
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2007;630
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2006;5259
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2005;1935
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2004;5760
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2003;940
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2002;4146
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2001;3185
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) suscrito;2000;6693
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2023;2440
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2022;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2021;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2020;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2019;139
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2018;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2017;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2016;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2015;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2014;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2013;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2012;0
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2011;55
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2010;120
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2009;109
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2008;416
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2007;525
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2006;1509
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2005;1257
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2004;5024
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2003;877
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2002;3949
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2001;2072
Total Nacional;01 Andalucía;21 Huelva;SA;capital (en miles de euros) desembolsado;2000;100062
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2023;697
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2022;707
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2021;705
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2020;649
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2019;663
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2018;667
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2017;664
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2016;726
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2015;733
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2014;765
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2013;734
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2012;714
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2011;643
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2010;600
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2009;572
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2008;740
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2007;1086
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2006;1120
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2005;1175
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2004;918
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2003;892
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2002;870
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2001;784
Total Nacional;01 Andalucía;21 Huelva;SL;Número de Sociedades;2000;825
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2023;19938
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2022;10316
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2021;13642
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2020;21552
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2019;14046
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2018;8801
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2017;9088
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2016;24317
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2015;17580
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2014;26061
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2013;28093
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2012;39032
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2011;28933
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2010;9963
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2009;10289
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2008;13395
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2007;32568
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2006;32961
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2005;36844
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2004;17542
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2003;20508
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2002;23167
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2001;26846
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) suscrito;2000;29103
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2023;19938
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2022;10316
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2021;13642
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2020;21552
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2019;14046
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2018;8801
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2017;9088
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2016;24317
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2015;17580
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2014;26061
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2013;28093
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2012;39032
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2011;28933
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2010;9963
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2009;10289
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2008;13395
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2007;32568
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2006;32961
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2005;36844
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2004;17542
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2003;20508
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2002;23167
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2001;26846
Total Nacional;01 Andalucía;21 Huelva;SL;capital (en miles de euros) desembolsado;2000;2200291
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2023;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2022;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2021;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2020;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2019;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2018;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2017;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2016;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2015;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2014;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2013;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2012;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2011;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2010;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2009;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2008;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2007;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2006;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2005;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2004;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2003;2
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2002;4
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2001;1
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;Número de Sociedades;2000;6
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2023;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2022;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2021;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2020;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2019;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2018;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2017;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2016;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2015;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2014;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2013;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2012;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2011;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2010;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2009;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2008;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2007;0
Total Nacional;01 Andalucía;21 Huelva;S COM, S COM PA y SC;capital (en miles de euros) suscrito;2006;0
