Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Forma jurídica;Número de sociedades y capital (en miles de euros);Periodo;Total
Total Nacional;;;SA;capital (en miles de euros) suscrito;2017;232668
Total Nacional;;;SA;capital (en miles de euros) suscrito;2016;1367768
Total Nacional;;;SA;capital (en miles de euros) suscrito;2015;2309197
Total Nacional;;;SA;capital (en miles de euros) suscrito;2014;1884836
Total Nacional;;;SA;capital (en miles de euros) suscrito;2013;1418967
Total Nacional;;;SA;capital (en miles de euros) suscrito;2012;2944805
Total Nacional;;;SA;capital (en miles de euros) suscrito;2011;17423276
Total Nacional;;;SA;capital (en miles de euros) suscrito;2010;1200802
Total Nacional;;;SA;capital (en miles de euros) suscrito;2009;742511
Total Nacional;;;SA;capital (en miles de euros) suscrito;2008;1933695
Total Nacional;;;SA;capital (en miles de euros) suscrito;2007;3446717
Total Nacional;;;SA;capital (en miles de euros) suscrito;2006;2802537
Total Nacional;;;SA;capital (en miles de euros) suscrito;2005;2588409
Total Nacional;;;SA;capital (en miles de euros) suscrito;2004;2065711
Total Nacional;;;SA;capital (en miles de euros) suscrito;2003;2380323
Total Nacional;;;SA;capital (en miles de euros) suscrito;2002;3559378
Total Nacional;;;SA;capital (en miles de euros) suscrito;2001;7833017
Total Nacional;;;SA;capital (en miles de euros) suscrito;2000;5052674
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2023;224398
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2022;224137
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2021;333813
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2020;198214
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2019;204625
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2018;263938
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2017;173264
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2016;1312458
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2015;2248150
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2014;1810215
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2013;1367579
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2012;2760678
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2011;17197973
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2010;1059099
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2009;497716
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2008;1486686
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2007;2198005
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2006;2089230
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2005;1933484
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2004;1498299
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2003;1851673
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2002;2863967
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2001;6910011
Total Nacional;;;SA;capital (en miles de euros) desembolsado;2000;25244818
Total Nacional;;;SL;Número de Sociedades;2023;107740
Total Nacional;;;SL;Número de Sociedades;2022;98665
Total Nacional;;;SL;Número de Sociedades;2021;100780
Total Nacional;;;SL;Número de Sociedades;2020;78867
Total Nacional;;;SL;Número de Sociedades;2019;93489
Total Nacional;;;SL;Número de Sociedades;2018;94662
Total Nacional;;;SL;Número de Sociedades;2017;93911
Total Nacional;;;SL;Número de Sociedades;2016;100456
Total Nacional;;;SL;Número de Sociedades;2015;93982
Total Nacional;;;SL;Número de Sociedades;2014;93439
Total Nacional;;;SL;Número de Sociedades;2013;92859
Total Nacional;;;SL;Número de Sociedades;2012;86591
Total Nacional;;;SL;Número de Sociedades;2011;84137
Total Nacional;;;SL;Número de Sociedades;2010;79202
Total Nacional;;;SL;Número de Sociedades;2009;77393
Total Nacional;;;SL;Número de Sociedades;2008;102247
Total Nacional;;;SL;Número de Sociedades;2007;140815
Total Nacional;;;SL;Número de Sociedades;2006;146837
Total Nacional;;;SL;Número de Sociedades;2005;136768
Total Nacional;;;SL;Número de Sociedades;2004;128726
Total Nacional;;;SL;Número de Sociedades;2003;121108
Total Nacional;;;SL;Número de Sociedades;2002;111563
