Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept NumeroSociedades_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,711227659005715;0,153428564925661;0,230462989275754
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivosMujeres_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,577040329338517;0,164594220773460;0,230737471053827
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,577040329338517;0,164594220773460;0,230737471053827
Total_arima, ConsumoEuros_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998446633760895;0,982428571805076;0,257554033748760;0,231164846505146
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima;3;-0,999000000000000;0,998446633760895;0,982428571805076;0,257554033748760;0,231164846505146
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Capital_arima;3;-0,999000000000000;0,998526913334202;0,902013211814367;0,144310765020090;0,231458985719075
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept Capital_arima;3;-0,999000000000000;0,998526913334202;0,902013211814367;0,144310765020090;0,231458985719075
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;0,708524991533002;0,153652318868860;0,231480372617642
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept NumeroSociedades_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,999000000000000;0,708524991533002;0,153652318868860;0,231480372617642
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,997777976378001;1,175184005155828;0,146183955447735;0,231566544570002
