Nacional;Comunidades y Ciudades Autonomas;Sexo;Periodo;Total
Total;07 Castilla y Le?n;Mujeres;2007;1277335
Total;07 Castilla y Le?n;Mujeres;2006;1275862
Total;07 Castilla y Le?n;Mujeres;2005;1270399
Total;07 Castilla y Le?n;Mujeres;2004;1262660
Total;07 Castilla y Le?n;Mujeres;2003;1259469
Total;07 Castilla y Le?n;Mujeres;2002;1256434
Total;07 Castilla y Le?n;Mujeres;2001;1256813
Total;07 Castilla y Le?n;Mujeres;2000;1257145
Total;07 Castilla y Le?n;Mujeres;1999;1260906
Total;07 Castilla y Le?n;Mujeres;1998;1259087
Total;07 Castilla y Le?n;Mujeres;1997;""
Total;07 Castilla y Le?n;Mujeres;1996;1270367
Total;08 Castilla - La Mancha;Total;2021;2049562
Total;08 Castilla - La Mancha;Total;2020;2045221
Total;08 Castilla - La Mancha;Total;2019;2032863
Total;08 Castilla - La Mancha;Total;2018;2026807
Total;08 Castilla - La Mancha;Total;2017;2031479
Total;08 Castilla - La Mancha;Total;2016;2041631
Total;08 Castilla - La Mancha;Total;2015;2059191
Total;08 Castilla - La Mancha;Total;2014;2078611
Total;08 Castilla - La Mancha;Total;2013;2100998
Total;08 Castilla - La Mancha;Total;2012;2121888
Total;08 Castilla - La Mancha;Total;2011;2115334
Total;08 Castilla - La Mancha;Total;2010;2098373
Total;08 Castilla - La Mancha;Total;2009;2081313
Total;08 Castilla - La Mancha;Total;2008;2043100
Total;08 Castilla - La Mancha;Total;2007;1977304
Total;08 Castilla - La Mancha;Total;2006;1932261
Total;08 Castilla - La Mancha;Total;2005;1894667
Total;08 Castilla - La Mancha;Total;2004;1848881
Total;08 Castilla - La Mancha;Total;2003;1815781
Total;08 Castilla - La Mancha;Total;2002;1782038
Total;08 Castilla - La Mancha;Total;2001;1755053
Total;08 Castilla - La Mancha;Total;2000;1734261
Total;08 Castilla - La Mancha;Total;1999;1726199
Total;08 Castilla - La Mancha;Total;1998;1716152
Total;08 Castilla - La Mancha;Total;1997;""
Total;08 Castilla - La Mancha;Total;1996;1712529
Total;08 Castilla - La Mancha;Hombres;2021;1026128
Total;08 Castilla - La Mancha;Hombres;2020;1023740
Total;08 Castilla - La Mancha;Hombres;2019;1016954
Total;08 Castilla - La Mancha;Hombres;2018;1014199
Total;08 Castilla - La Mancha;Hombres;2017;1016761
Total;08 Castilla - La Mancha;Hombres;2016;1022722
Total;08 Castilla - La Mancha;Hombres;2015;1032673
Total;08 Castilla - La Mancha;Hombres;2014;1043880
Total;08 Castilla - La Mancha;Hombres;2013;1056960
Total;08 Castilla - La Mancha;Hombres;2012;1069648
Total;08 Castilla - La Mancha;Hombres;2011;1066598
Total;08 Castilla - La Mancha;Hombres;2010;1059149
Total;08 Castilla - La Mancha;Hombres;2009;1051668
Total;08 Castilla - La Mancha;Hombres;2008;1033131
Total;08 Castilla - La Mancha;Hombres;2007;995668
Total;08 Castilla - La Mancha;Hombres;2006;970867
Total;08 Castilla - La Mancha;Hombres;2005;950976
Total;08 Castilla - La Mancha;Hombres;2004;925694
Total;08 Castilla - La Mancha;Hombres;2003;907656
Total;08 Castilla - La Mancha;Hombres;2002;888987
Total;08 Castilla - La Mancha;Hombres;2001;873287
Total;08 Castilla - La Mancha;Hombres;2000;860657
Total;08 Castilla - La Mancha;Hombres;1999;856604
Total;08 Castilla - La Mancha;Hombres;1998;851354
Total;08 Castilla - La Mancha;Hombres;1997;""
Total;08 Castilla - La Mancha;Hombres;1996;849076
Total;08 Castilla - La Mancha;Mujeres;2021;1023434
Total;08 Castilla - La Mancha;Mujeres;2020;1021481
Total;08 Castilla - La Mancha;Mujeres;2019;1015909
Total;08 Castilla - La Mancha;Mujeres;2018;1012608
Total;08 Castilla - La Mancha;Mujeres;2017;1014718
Total;08 Castilla - La Mancha;Mujeres;2016;1018909
Total;08 Castilla - La Mancha;Mujeres;2015;1026518
Total;08 Castilla - La Mancha;Mujeres;2014;1034731
Total;08 Castilla - La Mancha;Mujeres;2013;1044038
Total;08 Castilla - La Mancha;Mujeres;2012;1052240
Total;08 Castilla - La Mancha;Mujeres;2011;1048736
Total;08 Castilla - La Mancha;Mujeres;2010;1039224
Total;08 Castilla - La Mancha;Mujeres;2009;1029645
Total;08 Castilla - La Mancha;Mujeres;2008;1009969
Total;08 Castilla - La Mancha;Mujeres;2007;981636
Total;08 Castilla - La Mancha;Mujeres;2006;961394
Total;08 Castilla - La Mancha;Mujeres;2005;943691
Total;08 Castilla - La Mancha;Mujeres;2004;923187
Total;08 Castilla - La Mancha;Mujeres;2003;908125
Total;08 Castilla - La Mancha;Mujeres;2002;893051
Total;08 Castilla - La Mancha;Mujeres;2001;881766
Total;08 Castilla - La Mancha;Mujeres;2000;873604
Total;08 Castilla - La Mancha;Mujeres;1999;869595
Total;08 Castilla - La Mancha;Mujeres;1998;864798
Total;08 Castilla - La Mancha;Mujeres;1997;""
Total;08 Castilla - La Mancha;Mujeres;1996;863453
Total;09 Catalu?a;Total;2021;7763362
Total;09 Catalu?a;Total;2020;7780479
Total;09 Catalu?a;Total;2019;7675217
Total;09 Catalu?a;Total;2018;7600065
Total;09 Catalu?a;Total;2017;7555830
Total;09 Catalu?a;Total;2016;7522596
Total;09 Catalu?a;Total;2015;7508106
Total;09 Catalu?a;Total;2014;7518903
Total;09 Catalu?a;Total;2013;7553650
Total;09 Catalu?a;Total;2012;7570908
Total;09 Catalu?a;Total;2011;7539618
Total;09 Catalu?a;Total;2010;7512381
Total;09 Catalu?a;Total;2009;7475420
Total;09 Catalu?a;Total;2008;7364078
Total;09 Catalu?a;Total;2007;7210508
Total;09 Catalu?a;Total;2006;7134697
Total;09 Catalu?a;Total;2005;6995206
Total;09 Catalu?a;Total;2004;6813319
Total;09 Catalu?a;Total;2003;6704146
Total;09 Catalu?a;Total;2002;6506440
Total;09 Catalu?a;Total;2001;6361365
Total;09 Catalu?a;Total;2000;6261999
Total;09 Catalu?a;Total;1999;6207533
Total;09 Catalu?a;Total;1998;6147610
Total;09 Catalu?a;Total;1997;""
Total;09 Catalu?a;Total;1996;6090040
Total;09 Catalu?a;Hombres;2021;3819831
Total;09 Catalu?a;Hombres;2020;3826964
Total;09 Catalu?a;Hombres;2019;3770123
Total;09 Catalu?a;Hombres;2018;3730326
Total;09 Catalu?a;Hombres;2017;3710200
Total;09 Catalu?a;Hombres;2016;3697368
Total;09 Catalu?a;Hombres;2015;3691745
Total;09 Catalu?a;Hombres;2014;3701740
Total;09 Catalu?a;Hombres;2013;3725318
Total;09 Catalu?a;Hombres;2012;3741628
Total;09 Catalu?a;Hombres;2011;3732196
Total;09 Catalu?a;Hombres;2010;3724515
Total;09 Catalu?a;Hombres;2009;3713765
Total;09 Catalu?a;Hombres;2008;3661028
Total;09 Catalu?a;Hombres;2007;3578176
Total;09 Catalu?a;Hombres;2006;3543706
Total;09 Catalu?a;Hombres;2005;3468235
Total;09 Catalu?a;Hombres;2004;3366329
Total;09 Catalu?a;Hombres;2003;3309850
Total;09 Catalu?a;Hombres;2002;3201029
Total;09 Catalu?a;Hombres;2001;3115336
Total;09 Catalu?a;Hombres;2000;3058628
Total;09 Catalu?a;Hombres;1999;3030196
Total;09 Catalu?a;Hombres;1998;2997637
Total;09 Catalu?a;Hombres;1997;""
Total;09 Catalu?a;Hombres;1996;2971789
Total;09 Catalu?a;Mujeres;2021;3943531
Total;09 Catalu?a;Mujeres;2020;3953515
Total;09 Catalu?a;Mujeres;2019;3905094
Total;09 Catalu?a;Mujeres;2018;3869739
Total;09 Catalu?a;Mujeres;2017;3845630
Total;09 Catalu?a;Mujeres;2016;3825228
Total;09 Catalu?a;Mujeres;2015;3816361
Total;09 Catalu?a;Mujeres;2014;3817163
Total;09 Catalu?a;Mujeres;2013;3828332
Total;09 Catalu?a;Mujeres;2012;3829280
Total;09 Catalu?a;Mujeres;2011;3807422
Total;09 Catalu?a;Mujeres;2010;3787866
Total;09 Catalu?a;Mujeres;2009;3761655
Total;09 Catalu?a;Mujeres;2008;3703050
Total;09 Catalu?a;Mujeres;2007;3632332
Total;09 Catalu?a;Mujeres;2006;3590991
Total;09 Catalu?a;Mujeres;2005;3526971
Total;09 Catalu?a;Mujeres;2004;3446990
Total;09 Catalu?a;Mujeres;2003;3394296
Total;09 Catalu?a;Mujeres;2002;3305411
Total;09 Catalu?a;Mujeres;2001;3246029
Total;09 Catalu?a;Mujeres;2000;3203371
Total;09 Catalu?a;Mujeres;1999;3177337
Total;09 Catalu?a;Mujeres;1998;3149973
Total;09 Catalu?a;Mujeres;1997;""
Total;09 Catalu?a;Mujeres;1996;3118251
Total;10 Comunitat Valenciana;Total;2021;5058138
Total;10 Comunitat Valenciana;Total;2020;5057353
Total;10 Comunitat Valenciana;Total;2019;5003769
Total;10 Comunitat Valenciana;Total;2018;4963703
Total;10 Comunitat Valenciana;Total;2017;4941509
Total;10 Comunitat Valenciana;Total;2016;4959968
Total;10 Comunitat Valenciana;Total;2015;4980689
Total;10 Comunitat Valenciana;Total;2014;5004844
Total;10 Comunitat Valenciana;Total;2013;5113815
Total;10 Comunitat Valenciana;Total;2012;5129266
Total;10 Comunitat Valenciana;Total;2011;5117190
Total;10 Comunitat Valenciana;Total;2010;5111706
Total;10 Comunitat Valenciana;Total;2009;5094675
Total;10 Comunitat Valenciana;Total;2008;5029601
Total;10 Comunitat Valenciana;Total;2007;4885029
Total;10 Comunitat Valenciana;Total;2006;4806908
Total;10 Comunitat Valenciana;Total;2005;4692449
Total;10 Comunitat Valenciana;Total;2004;4543304
Total;10 Comunitat Valenciana;Total;2003;4470885
Total;10 Comunitat Valenciana;Total;2002;4326708
Total;10 Comunitat Valenciana;Total;2001;4202608
Total;10 Comunitat Valenciana;Total;2000;4120729
Total;10 Comunitat Valenciana;Total;1999;4066474
Total;10 Comunitat Valenciana;Total;1998;4023441
Total;10 Comunitat Valenciana;Total;1997;""
Total;10 Comunitat Valenciana;Total;1996;4009329
Total;10 Comunitat Valenciana;Hombres;2021;2491394
Total;10 Comunitat Valenciana;Hombres;2020;2492121
Total;10 Comunitat Valenciana;Hombres;2019;2465342
Total;10 Comunitat Valenciana;Hombres;2018;2446383
Total;10 Comunitat Valenciana;Hombres;2017;2436203
Total;10 Comunitat Valenciana;Hombres;2016;2448748
Total;10 Comunitat Valenciana;Hombres;2015;2460805
Total;10 Comunitat Valenciana;Hombres;2014;2475081
Total;10 Comunitat Valenciana;Hombres;2013;2534539
Total;10 Comunitat Valenciana;Hombres;2012;2546404
Total;10 Comunitat Valenciana;Hombres;2011;2541780
Total;10 Comunitat Valenciana;Hombres;2010;2542949
Total;10 Comunitat Valenciana;Hombres;2009;2537898
Total;10 Comunitat Valenciana;Hombres;2008;2508433
Total;10 Comunitat Valenciana;Hombres;2007;2432162
Total;10 Comunitat Valenciana;Hombres;2006;2394307
Total;10 Comunitat Valenciana;Hombres;2005;2332283
Total;10 Comunitat Valenciana;Hombres;2004;2251812
Total;10 Comunitat Valenciana;Hombres;2003;2213010
Total;10 Comunitat Valenciana;Hombres;2002;2136323
Total;10 Comunitat Valenciana;Hombres;2001;2066487
Total;10 Comunitat Valenciana;Hombres;2000;2020667
Total;10 Comunitat Valenciana;Hombres;1999;1993258
Total;10 Comunitat Valenciana;Hombres;1998;1970767
Total;10 Comunitat Valenciana;Hombres;1997;""
Total;10 Comunitat Valenciana;Hombres;1996;1962181
Total;10 Comunitat Valenciana;Mujeres;2021;2566744
Total;10 Comunitat Valenciana;Mujeres;2020;2565232
Total;10 Comunitat Valenciana;Mujeres;2019;2538427
Total;10 Comunitat Valenciana;Mujeres;2018;2517320
Total;10 Comunitat Valenciana;Mujeres;2017;2505306
Total;10 Comunitat Valenciana;Mujeres;2016;2511220
Total;10 Comunitat Valenciana;Mujeres;2015;2519884
Total;10 Comunitat Valenciana;Mujeres;2014;2529763
Total;10 Comunitat Valenciana;Mujeres;2013;2579276
Total;10 Comunitat Valenciana;Mujeres;2012;2582862
Total;10 Comunitat Valenciana;Mujeres;2011;2575410
Total;10 Comunitat Valenciana;Mujeres;2010;2568757
Total;10 Comunitat Valenciana;Mujeres;2009;2556777
Total;10 Comunitat Valenciana;Mujeres;2008;2521168
Total;10 Comunitat Valenciana;Mujeres;2007;2452867
Total;10 Comunitat Valenciana;Mujeres;2006;2412601
Total;10 Comunitat Valenciana;Mujeres;2005;2360166
Total;10 Comunitat Valenciana;Mujeres;2004;2291492
Total;10 Comunitat Valenciana;Mujeres;2003;2257875
Total;10 Comunitat Valenciana;Mujeres;2002;2190385
Total;10 Comunitat Valenciana;Mujeres;2001;2136121
Total;10 Comunitat Valenciana;Mujeres;2000;2100062
Total;10 Comunitat Valenciana;Mujeres;1999;2073216
Total;10 Comunitat Valenciana;Mujeres;1998;2052674
Total;10 Comunitat Valenciana;Mujeres;1997;""
Total;10 Comunitat Valenciana;Mujeres;1996;2047148
Total;11 Extremadura;Total;2021;1059501
Total;11 Extremadura;Total;2020;1063987
Total;11 Extremadura;Total;2019;1067710
Total;11 Extremadura;Total;2018;1072863
Total;11 Extremadura;Total;2017;1079920
Total;11 Extremadura;Total;2016;1087778
Total;11 Extremadura;Total;2015;1092997
Total;11 Extremadura;Total;2014;1099632
Total;11 Extremadura;Total;2013;1104004
Total;11 Extremadura;Total;2012;1108130
Total;11 Extremadura;Total;2011;1109367
Total;11 Extremadura;Total;2010;1107220
Total;11 Extremadura;Total;2009;1102410
Total;11 Extremadura;Total;2008;1097744
Total;11 Extremadura;Total;2007;1089990
Total;11 Extremadura;Total;2006;1086373
Total;11 Extremadura;Total;2005;1083879
Total;11 Extremadura;Total;2004;1075286
Total;11 Extremadura;Total;2003;1073904
Total;11 Extremadura;Total;2002;1073050
Total;11 Extremadura;Total;2001;1073381
Total;11 Extremadura;Total;2000;1069420
Total;11 Extremadura;Total;1999;1073574
Total;11 Extremadura;Total;1998;1069419
Total;11 Extremadura;Total;1997;""
Total;11 Extremadura;Total;1996;1070244
Total;11 Extremadura;Hombres;2021;523976
Total;11 Extremadura;Hombres;2020;526288
Total;11 Extremadura;Hombres;2019;528500
Total;11 Extremadura;Hombres;2018;531255
Total;11 Extremadura;Hombres;2017;535060
Total;11 Extremadura;Hombres;2016;539239
Total;11 Extremadura;Hombres;2015;542078
Total;11 Extremadura;Hombres;2014;545616
Total;11 Extremadura;Hombres;2013;548054
Total;11 Extremadura;Hombres;2012;550324
Total;11 Extremadura;Hombres;2011;550864
Total;11 Extremadura;Hombres;2010;549721
Total;11 Extremadura;Hombres;2009;547550
Total;11 Extremadura;Hombres;2008;546192
Total;11 Extremadura;Hombres;2007;541692
Total;11 Extremadura;Hombres;2006;540352
Total;11 Extremadura;Hombres;2005;539225
Total;11 Extremadura;Hombres;2004;534704
Total;11 Extremadura;Hombres;2003;533891
Total;11 Extremadura;Hombres;2002;533539
Total;11 Extremadura;Hombres;2001;533622
Total;11 Extremadura;Hombres;2000;531144
Total;11 Extremadura;Hombres;1999;533506
Total;11 Extremadura;Hombres;1998;530994
Total;11 Extremadura;Hombres;1997;""
Total;11 Extremadura;Hombres;1996;530500
Total;11 Extremadura;Mujeres;2021;535525
Total;11 Extremadura;Mujeres;2020;537699
Total;11 Extremadura;Mujeres;2019;539210
Total;11 Extremadura;Mujeres;2018;541608
Total;11 Extremadura;Mujeres;2017;544860
Total;11 Extremadura;Mujeres;2016;548539
Total;11 Extremadura;Mujeres;2015;550919
Total;11 Extremadura;Mujeres;2014;554016
Total;11 Extremadura;Mujeres;2013;555950
Total;11 Extremadura;Mujeres;2012;557806
Total;11 Extremadura;Mujeres;2011;558503
Total;11 Extremadura;Mujeres;2010;557499
Total;11 Extremadura;Mujeres;2009;554860
Total;11 Extremadura;Mujeres;2008;551552
Total;11 Extremadura;Mujeres;2007;548298
Total;11 Extremadura;Mujeres;2006;546021
Total;11 Extremadura;Mujeres;2005;544654
Total;11 Extremadura;Mujeres;2004;540582
Total;11 Extremadura;Mujeres;2003;540013
Total;11 Extremadura;Mujeres;2002;539511
Total;11 Extremadura;Mujeres;2001;539759
Total;11 Extremadura;Mujeres;2000;538276
Total;11 Extremadura;Mujeres;1999;540068
Total;11 Extremadura;Mujeres;1998;538425
Total;11 Extremadura;Mujeres;1997;""
Total;11 Extremadura;Mujeres;1996;539744
Total;12 Galicia;Total;2021;2695645
Total;12 Galicia;Total;2020;2701819
Total;12 Galicia;Total;2019;2699499
Total;12 Galicia;Total;2018;2701743
Total;12 Galicia;Total;2017;2708339
Total;12 Galicia;Total;2016;2718525
Total;12 Galicia;Total;2015;2732347
Total;12 Galicia;Total;2014;2748695
Total;12 Galicia;Total;2013;2765940
Total;12 Galicia;Total;2012;2781498
Total;12 Galicia;Total;2011;2795422
Total;12 Galicia;Total;2010;2797653
Total;12 Galicia;Total;2009;2796089
Total;12 Galicia;Total;2008;2784169
Total;12 Galicia;Total;2007;2772533
Total;12 Galicia;Total;2006;2767524
Total;12 Galicia;Total;2005;2762198
Total;12 Galicia;Total;2004;2750985
Total;12 Galicia;Total;2003;2751094
Total;12 Galicia;Total;2002;2737370
Total;12 Galicia;Total;2001;2732926
Total;12 Galicia;Total;2000;2731900
Total;12 Galicia;Total;1999;2730337
Total;12 Galicia;Total;1998;2724544
Total;12 Galicia;Total;1997;""
Total;12 Galicia;Total;1996;2742622
Total;12 Galicia;Hombres;2021;1297301
Total;12 Galicia;Hombres;2020;1300153
Total;12 Galicia;Hombres;2019;1298964
Total;12 Galicia;Hombres;2018;1300609
Total;12 Galicia;Hombres;2017;1304392
Total;12 Galicia;Hombres;2016;1309809
Total;12 Galicia;Hombres;2015;1317054
Total;12 Galicia;Hombres;2014;1325657
Total;12 Galicia;Hombres;2013;1335122
Total;12 Galicia;Hombres;2012;1343328
Total;12 Galicia;Hombres;2011;1349591
Total;12 Galicia;Hombres;2010;1350547
Total;12 Galicia;Hombres;2009;1349603
Total;12 Galicia;Hombres;2008;1344268
Total;12 Galicia;Hombres;2007;1337159
Total;12 Galicia;Hombres;2006;1333797
Total;12 Galicia;Hombres;2005;1330703
Total;12 Galicia;Hombres;2004;1324987
Total;12 Galicia;Hombres;2003;1324385
Total;12 Galicia;Hombres;2002;1316721
Total;12 Galicia;Hombres;2001;1314078
Total;12 Galicia;Hombres;2000;1312391
Total;12 Galicia;Hombres;1999;1312881
Total;12 Galicia;Hombres;1998;1310415
Total;12 Galicia;Hombres;1997;""
Total;12 Galicia;Hombres;1996;1320347
Total;12 Galicia;Mujeres;2021;1398344
Total;12 Galicia;Mujeres;2020;1401666
Total;12 Galicia;Mujeres;2019;1400535
Total;12 Galicia;Mujeres;2018;1401134
Total;12 Galicia;Mujeres;2017;1403947
Total;12 Galicia;Mujeres;2016;1408716
Total;12 Galicia;Mujeres;2015;1415293
Total;12 Galicia;Mujeres;2014;1423038
Total;12 Galicia;Mujeres;2013;1430818
Total;12 Galicia;Mujeres;2012;1438170
Total;12 Galicia;Mujeres;2011;1445831
Total;12 Galicia;Mujeres;2010;1447106
Total;12 Galicia;Mujeres;2009;1446486
Total;12 Galicia;Mujeres;2008;1439901
Total;12 Galicia;Mujeres;2007;1435374
Total;12 Galicia;Mujeres;2006;1433727
Total;12 Galicia;Mujeres;2005;1431495
Total;12 Galicia;Mujeres;2004;1425998
Total;12 Galicia;Mujeres;2003;1426709
Total;12 Galicia;Mujeres;2002;1420649
Total;12 Galicia;Mujeres;2001;1418848
Total;12 Galicia;Mujeres;2000;1419509
Total;12 Galicia;Mujeres;1999;1417456
Total;12 Galicia;Mujeres;1998;1414129
Total;12 Galicia;Mujeres;1997;""
Total;12 Galicia;Mujeres;1996;1422275
Total;13 Madrid, Comunidad de;Total;2021;6751251
Total;13 Madrid, Comunidad de;Total;2020;6779888
Total;13 Madrid, Comunidad de;Total;2019;6663394
Total;13 Madrid, Comunidad de;Total;2018;6578079
Total;13 Madrid, Comunidad de;Total;2017;6507184
Total;13 Madrid, Comunidad de;Total;2016;6466996
Total;13 Madrid, Comunidad de;Total;2015;6436996
Total;13 Madrid, Comunidad de;Total;2014;6454440
Total;13 Madrid, Comunidad de;Total;2013;6495551
Total;13 Madrid, Comunidad de;Total;2012;6498560
Total;13 Madrid, Comunidad de;Total;2011;6489680
Total;13 Madrid, Comunidad de;Total;2010;6458684
Total;13 Madrid, Comunidad de;Total;2009;6386932
Total;13 Madrid, Comunidad de;Total;2008;6271638
Total;13 Madrid, Comunidad de;Total;2007;6081689
Total;13 Madrid, Comunidad de;Total;2006;6008183
Total;13 Madrid, Comunidad de;Total;2005;5964143
Total;13 Madrid, Comunidad de;Total;2004;5804829
Total;13 Madrid, Comunidad de;Total;2003;5718942
Total;13 Madrid, Comunidad de;Total;2002;5527152
Total;13 Madrid, Comunidad de;Total;2001;5372433
Total;13 Madrid, Comunidad de;Total;2000;5205408
Total;13 Madrid, Comunidad de;Total;1999;5145325
Total;13 Madrid, Comunidad de;Total;1998;5091336
Total;13 Madrid, Comunidad de;Total;1997;""
Total;13 Madrid, Comunidad de;Total;1996;5022289
Total;13 Madrid, Comunidad de;Hombres;2021;3229700
Total;13 Madrid, Comunidad de;Hombres;2020;3243793
Total;13 Madrid, Comunidad de;Hombres;2019;3187312
Total;13 Madrid, Comunidad de;Hombres;2018;3147872
Total;13 Madrid, Comunidad de;Hombres;2017;3115522
Total;13 Madrid, Comunidad de;Hombres;2016;3098631
Total;13 Madrid, Comunidad de;Hombres;2015;3087022
Total;13 Madrid, Comunidad de;Hombres;2014;3099641
Total;13 Madrid, Comunidad de;Hombres;2013;3123724
Total;13 Madrid, Comunidad de;Hombres;2012;3130241
Total;13 Madrid, Comunidad de;Hombres;2011;3132844
Total;13 Madrid, Comunidad de;Hombres;2010;3124438
Total;13 Madrid, Comunidad de;Hombres;2009;3094874
Total;13 Madrid, Comunidad de;Hombres;2008;3040658
Total;13 Madrid, Comunidad de;Hombres;2007;2943778
Total;13 Madrid, Comunidad de;Hombres;2006;2908654
Total;13 Madrid, Comunidad de;Hombres;2005;2887718
Total;13 Madrid, Comunidad de;Hombres;2004;2804962
Total;13 Madrid, Comunidad de;Hombres;2003;2760877
Total;13 Madrid, Comunidad de;Hombres;2002;2663407
Total;13 Madrid, Comunidad de;Hombres;2001;2584779
Total;13 Madrid, Comunidad de;Hombres;2000;2501285
Total;13 Madrid, Comunidad de;Hombres;1999;2472098
Total;13 Madrid, Comunidad de;Hombres;1998;2444919
Total;13 Madrid, Comunidad de;Hombres;1997;""
Total;13 Madrid, Comunidad de;Hombres;1996;2411548
Total;13 Madrid, Comunidad de;Mujeres;2021;3521551
Total;13 Madrid, Comunidad de;Mujeres;2020;3536095
Total;13 Madrid, Comunidad de;Mujeres;2019;3476082
Total;13 Madrid, Comunidad de;Mujeres;2018;3430207
Total;13 Madrid, Comunidad de;Mujeres;2017;3391662
Total;13 Madrid, Comunidad de;Mujeres;2016;3368365
Total;13 Madrid, Comunidad de;Mujeres;2015;3349974
Total;13 Madrid, Comunidad de;Mujeres;2014;3354799
Total;13 Madrid, Comunidad de;Mujeres;2013;3371827
Total;13 Madrid, Comunidad de;Mujeres;2012;3368319
Total;13 Madrid, Comunidad de;Mujeres;2011;3356836
Total;13 Madrid, Comunidad de;Mujeres;2010;3334246
Total;13 Madrid, Comunidad de;Mujeres;2009;3292058
Total;13 Madrid, Comunidad de;Mujeres;2008;3230980
Total;13 Madrid, Comunidad de;Mujeres;2007;3137911
Total;13 Madrid, Comunidad de;Mujeres;2006;3099529
Total;13 Madrid, Comunidad de;Mujeres;2005;3076425
Total;13 Madrid, Comunidad de;Mujeres;2004;2999867
Total;13 Madrid, Comunidad de;Mujeres;2003;2958065
Total;13 Madrid, Comunidad de;Mujeres;2002;2863745
Total;13 Madrid, Comunidad de;Mujeres;2001;2787654
Total;13 Madrid, Comunidad de;Mujeres;2000;2704123
Total;13 Madrid, Comunidad de;Mujeres;1999;2673227
Total;13 Madrid, Comunidad de;Mujeres;1998;2646417
Total;13 Madrid, Comunidad de;Mujeres;1997;""
Total;13 Madrid, Comunidad de;Mujeres;1996;2610741
Total;14 Murcia, Regi?n de;Total;2021;1518486
Total;14 Murcia, Regi?n de;Total;2020;1511251
Total;14 Murcia, Regi?n de;Total;2019;1493898
Total;14 Murcia, Regi?n de;Total;2018;1478509
Total;14 Murcia, Regi?n de;Total;2017;1470273
Total;14 Murcia, Regi?n de;Total;2016;1464847
Total;14 Murcia, Regi?n de;Total;2015;1467288
Total;14 Murcia, Regi?n de;Total;2014;1466818
Total;14 Murcia, Regi?n de;Total;2013;1472049
Total;14 Murcia, Regi?n de;Total;2012;1474449
Total;14 Murcia, Regi?n de;Total;2011;1470069
Total;14 Murcia, Regi?n de;Total;2010;1461979
Total;14 Murcia, Regi?n de;Total;2009;1446520
Total;14 Murcia, Regi?n de;Total;2008;1426109
Total;14 Murcia, Regi?n de;Total;2007;1392117
Total;14 Murcia, Regi?n de;Total;2006;1370306
Total;14 Murcia, Regi?n de;Total;2005;1335792
Total;14 Murcia, Regi?n de;Total;2004;1294694
Total;14 Murcia, Regi?n de;Total;2003;1269230
Total;14 Murcia, Regi?n de;Total;2002;1226993
Total;14 Murcia, Regi?n de;Total;2001;1190378
Total;14 Murcia, Regi?n de;Total;2000;1149328
Total;14 Murcia, Regi?n de;Total;1999;1131128
Total;14 Murcia, Regi?n de;Total;1998;1115068
Total;14 Murcia, Regi?n de;Total;1997;""
Total;14 Murcia, Regi?n de;Total;1996;1097249
Total;14 Murcia, Regi?n de;Hombres;2021;760362
Total;14 Murcia, Regi?n de;Hombres;2020;756699
Total;14 Murcia, Regi?n de;Hombres;2019;747615
Total;14 Murcia, Regi?n de;Hombres;2018;740143
Total;14 Murcia, Regi?n de;Hombres;2017;736238
Total;14 Murcia, Regi?n de;Hombres;2016;733555
Total;14 Murcia, Regi?n de;Hombres;2015;735434
Total;14 Murcia, Regi?n de;Hombres;2014;735889
Total;14 Murcia, Regi?n de;Hombres;2013;739842
Total;14 Murcia, Regi?n de;Hombres;2012;742727
Total;14 Murcia, Regi?n de;Hombres;2011;741581
Total;14 Murcia, Regi?n de;Hombres;2010;738627
Total;14 Murcia, Regi?n de;Hombres;2009;731609
Total;14 Murcia, Regi?n de;Hombres;2008;722999
Total;14 Murcia, Regi?n de;Hombres;2007;706326
Total;14 Murcia, Regi?n de;Hombres;2006;697027
Total;14 Murcia, Regi?n de;Hombres;2005;677049
Total;14 Murcia, Regi?n de;Hombres;2004;652057
Total;14 Murcia, Regi?n de;Hombres;2003;639795
Total;14 Murcia, Regi?n de;Hombres;2002;616236
Total;14 Murcia, Regi?n de;Hombres;2001;595757
Total;14 Murcia, Regi?n de;Hombres;2000;570125
Total;14 Murcia, Regi?n de;Hombres;1999;559888
Total;14 Murcia, Regi?n de;Hombres;1998;551343
Total;14 Murcia, Regi?n de;Hombres;1997;""
Total;14 Murcia, Regi?n de;Hombres;1996;541069
Total;14 Murcia, Regi?n de;Mujeres;2021;758124
Total;14 Murcia, Regi?n de;Mujeres;2020;754552
Total;14 Murcia, Regi?n de;Mujeres;2019;746283
Total;14 Murcia, Regi?n de;Mujeres;2018;738366
Total;14 Murcia, Regi?n de;Mujeres;2017;734035
Total;14 Murcia, Regi?n de;Mujeres;2016;731292
Total;14 Murcia, Regi?n de;Mujeres;2015;731854
Total;14 Murcia, Regi?n de;Mujeres;2014;730929
Total;14 Murcia, Regi?n de;Mujeres;2013;732207
Total;14 Murcia, Regi?n de;Mujeres;2012;731722
Total;14 Murcia, Regi?n de;Mujeres;2011;728488
Total;14 Murcia, Regi?n de;Mujeres;2010;723352
Total;14 Murcia, Regi?n de;Mujeres;2009;714911
Total;14 Murcia, Regi?n de;Mujeres;2008;703110
Total;14 Murcia, Regi?n de;Mujeres;2007;685791
