Nacional;Comunidades y Ciudades Autonomas;Sexo;Periodo;Total
Total;02 Arag?n;Total;2020;1329391
Total;02 Arag?n;Total;2019;1319291
Total;02 Arag?n;Total;2018;1308728
Total;02 Arag?n;Total;2017;1308750
Total;02 Arag?n;Total;2016;1308563
Total;02 Arag?n;Total;2015;1317847
Total;02 Arag?n;Total;2014;1325385
Total;02 Arag?n;Total;2013;1347150
Total;02 Arag?n;Total;2012;1349467
Total;02 Arag?n;Total;2011;1346293
Total;02 Arag?n;Total;2010;1347095
Total;02 Arag?n;Total;2009;1345473
Total;02 Arag?n;Total;2008;1326918
Total;02 Arag?n;Total;2007;1296655
Total;02 Arag?n;Total;2006;1277471
Total;02 Arag?n;Total;2005;1269027
Total;02 Arag?n;Total;2004;1249584
Total;02 Arag?n;Total;2003;1230090
Total;02 Arag?n;Total;2002;1217514
Total;02 Arag?n;Total;2001;1199753
Total;02 Arag?n;Total;2000;1189909
Total;02 Arag?n;Total;1999;1186849
Total;02 Arag?n;Total;1998;1183234
Total;02 Arag?n;Total;1997;""
Total;02 Arag?n;Total;1996;1187546
Total;02 Arag?n;Hombres;2021;655248
Total;02 Arag?n;Hombres;2020;656056
Total;02 Arag?n;Hombres;2019;650694
Total;02 Arag?n;Hombres;2018;645498
Total;02 Arag?n;Hombres;2017;645895
Total;02 Arag?n;Hombres;2016;647206
Total;02 Arag?n;Hombres;2015;652687
Total;02 Arag?n;Hombres;2014;656964
Total;02 Arag?n;Hombres;2013;669987
Total;02 Arag?n;Hombres;2012;671898
Total;02 Arag?n;Hombres;2011;671286
Total;02 Arag?n;Hombres;2010;673177
Total;02 Arag?n;Hombres;2009;673819
Total;02 Arag?n;Hombres;2008;664403
Total;02 Arag?n;Hombres;2007;646996
Total;02 Arag?n;Hombres;2006;636659
Total;02 Arag?n;Hombres;2005;632148
Total;02 Arag?n;Hombres;2004;620874
Total;02 Arag?n;Hombres;2003;610210
Total;02 Arag?n;Hombres;2002;603149
Total;02 Arag?n;Hombres;2001;592682
Total;02 Arag?n;Hombres;2000;586122
Total;02 Arag?n;Hombres;1999;584361
Total;02 Arag?n;Hombres;1998;582366
Total;02 Arag?n;Hombres;1997;""
Total;02 Arag?n;Hombres;1996;584535
Total;02 Arag?n;Mujeres;2021;671013
Total;02 Arag?n;Mujeres;2020;673335
Total;02 Arag?n;Mujeres;2019;668597
Total;02 Arag?n;Mujeres;2018;663230
Total;02 Arag?n;Mujeres;2017;662855
Total;02 Arag?n;Mujeres;2016;661357
Total;02 Arag?n;Mujeres;2015;665160
Total;02 Arag?n;Mujeres;2014;668421
Total;02 Arag?n;Mujeres;2013;677163
Total;02 Arag?n;Mujeres;2012;677569
Total;02 Arag?n;Mujeres;2011;675007
Total;02 Arag?n;Mujeres;2010;673918
Total;02 Arag?n;Mujeres;2009;671654
Total;02 Arag?n;Mujeres;2008;662515
Total;02 Arag?n;Mujeres;2007;649659
Total;02 Arag?n;Mujeres;2006;640812
Total;02 Arag?n;Mujeres;2005;636879
Total;02 Arag?n;Mujeres;2004;628710
Total;02 Arag?n;Mujeres;2003;619880
Total;02 Arag?n;Mujeres;2002;614365
Total;02 Arag?n;Mujeres;2001;607071
Total;02 Arag?n;Mujeres;2000;603787
Total;02 Arag?n;Mujeres;1999;602488
Total;02 Arag?n;Mujeres;1998;600868
Total;02 Arag?n;Mujeres;1997;""
Total;02 Arag?n;Mujeres;1996;603011
Total;03 Asturias, Principado de;Total;2021;1011792
Total;03 Asturias, Principado de;Total;2020;1018784
Total;03 Asturias, Principado de;Total;2019;1022800
Total;03 Asturias, Principado de;Total;2018;1028244
Total;03 Asturias, Principado de;Total;2017;1034960
Total;03 Asturias, Principado de;Total;2016;1042608
Total;03 Asturias, Principado de;Total;2015;1051229
Total;03 Asturias, Principado de;Total;2014;1061756
Total;03 Asturias, Principado de;Total;2013;1068165
Total;03 Asturias, Principado de;Total;2012;1077360
Total;03 Asturias, Principado de;Total;2011;1081487
Total;03 Asturias, Principado de;Total;2010;1084341
Total;03 Asturias, Principado de;Total;2009;1085289
Total;03 Asturias, Principado de;Total;2008;1080138
Total;03 Asturias, Principado de;Total;2007;1074862
Total;03 Asturias, Principado de;Total;2006;1076896
