Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Total;03 Asturias, Principado de;1998M03;""
Total;03 Asturias, Principado de;1998M02;""
Total;03 Asturias, Principado de;1998M01;""
Total;03 Asturias, Principado de;1997M12;""
Total;03 Asturias, Principado de;1997M11;""
Total;03 Asturias, Principado de;1997M10;""
Total;03 Asturias, Principado de;1997M09;""
Total;03 Asturias, Principado de;1997M08;""
Total;03 Asturias, Principado de;1997M07;""
Total;03 Asturias, Principado de;1997M06;""
Total;03 Asturias, Principado de;1997M05;""
Total;03 Asturias, Principado de;1997M04;""
Total;03 Asturias, Principado de;1997M03;""
Total;03 Asturias, Principado de;1997M02;""
Total;03 Asturias, Principado de;1997M01;""
Total;03 Asturias, Principado de;1996M12;""
Total;03 Asturias, Principado de;1996M11;""
Total;03 Asturias, Principado de;1996M10;""
Total;03 Asturias, Principado de;1996M09;""
Total;03 Asturias, Principado de;1996M08;""
Total;03 Asturias, Principado de;1996M07;""
Total;03 Asturias, Principado de;1996M06;""
Total;03 Asturias, Principado de;1996M05;""
Total;03 Asturias, Principado de;1996M04;""
Total;03 Asturias, Principado de;1996M03;""
Total;03 Asturias, Principado de;1996M02;""
Total;03 Asturias, Principado de;1996M01;""
Total;03 Asturias, Principado de;1995M12;""
Total;03 Asturias, Principado de;1995M11;""
Total;03 Asturias, Principado de;1995M10;""
Total;03 Asturias, Principado de;1995M09;""
Total;03 Asturias, Principado de;1995M08;""
Total;03 Asturias, Principado de;1995M07;""
Total;03 Asturias, Principado de;1995M06;""
Total;03 Asturias, Principado de;1995M05;""
Total;03 Asturias, Principado de;1995M04;""
Total;03 Asturias, Principado de;1995M03;""
Total;03 Asturias, Principado de;1995M02;""
Total;03 Asturias, Principado de;1995M01;""
Total;04 Balears, Illes;2025M05;83
Total;04 Balears, Illes;2025M04;60
Total;04 Balears, Illes;2025M03;80
Total;04 Balears, Illes;2025M02;105
Total;04 Balears, Illes;2025M01;150
Total;04 Balears, Illes;2024M12;125
Total;04 Balears, Illes;2024M11;86
Total;04 Balears, Illes;2024M10;87
Total;04 Balears, Illes;2024M09;71
Total;04 Balears, Illes;2024M08;73
Total;04 Balears, Illes;2024M07;63
Total;04 Balears, Illes;2024M06;58
Total;04 Balears, Illes;2024M05;55
Total;04 Balears, Illes;2024M04;76
Total;04 Balears, Illes;2024M03;64
Total;04 Balears, Illes;2024M02;114
Total;04 Balears, Illes;2024M01;189
Total;04 Balears, Illes;2023M12;104
Total;04 Balears, Illes;2023M11;74
Total;04 Balears, Illes;2023M10;78
Total;04 Balears, Illes;2023M09;60
Total;04 Balears, Illes;2023M08;48
Total;04 Balears, Illes;2023M07;45
Total;04 Balears, Illes;2023M06;61
Total;04 Balears, Illes;2023M05;79
Total;04 Balears, Illes;2023M04;70
Total;04 Balears, Illes;2023M03;94
Total;04 Balears, Illes;2023M02;109
Total;04 Balears, Illes;2023M01;190
Total;04 Balears, Illes;2022M12;140
Total;04 Balears, Illes;2022M11;99
Total;04 Balears, Illes;2022M10;76
Total;04 Balears, Illes;2022M09;57
Total;04 Balears, Illes;2022M08;68
Total;04 Balears, Illes;2022M07;44
Total;04 Balears, Illes;2022M06;70
Total;04 Balears, Illes;2022M05;53
Total;04 Balears, Illes;2022M04;61
Total;04 Balears, Illes;2022M03;91
Total;04 Balears, Illes;2022M02;123
Total;04 Balears, Illes;2022M01;167
Total;04 Balears, Illes;2021M12;124
Total;04 Balears, Illes;2021M11;79
Total;04 Balears, Illes;2021M10;72
Total;04 Balears, Illes;2021M09;66
Total;04 Balears, Illes;2021M08;50
Total;04 Balears, Illes;2021M07;53
Total;04 Balears, Illes;2021M06;68
Total;04 Balears, Illes;2021M05;95
Total;04 Balears, Illes;2021M04;60
Total;04 Balears, Illes;2021M03;80
Total;04 Balears, Illes;2021M02;126
Total;04 Balears, Illes;2021M01;139
Total;04 Balears, Illes;2020M12;127
Total;04 Balears, Illes;2020M11;77
Total;04 Balears, Illes;2020M10;60
Total;04 Balears, Illes;2020M09;63
Total;04 Balears, Illes;2020M08;54
Total;04 Balears, Illes;2020M07;93
Total;04 Balears, Illes;2020M06;51
Total;04 Balears, Illes;2020M05;37
Total;04 Balears, Illes;2020M04;34
Total;04 Balears, Illes;2020M03;59
Total;04 Balears, Illes;2020M02;78
Total;04 Balears, Illes;2020M01;133
Total;04 Balears, Illes;2019M12;131
Total;04 Balears, Illes;2019M11;116
Total;04 Balears, Illes;2019M10;89
Total;04 Balears, Illes;2019M09;56
Total;04 Balears, Illes;2019M08;64
Total;04 Balears, Illes;2019M07;65
Total;04 Balears, Illes;2019M06;69
Total;04 Balears, Illes;2019M05;81
Total;04 Balears, Illes;2019M04;49
Total;04 Balears, Illes;2019M03;59
Total;04 Balears, Illes;2019M02;95
Total;04 Balears, Illes;2019M01;152
Total;04 Balears, Illes;2018M12;105
Total;04 Balears, Illes;2018M11;91
Total;04 Balears, Illes;2018M10;77
Total;04 Balears, Illes;2018M09;65
Total;04 Balears, Illes;2018M08;58
Total;04 Balears, Illes;2018M07;57
Total;04 Balears, Illes;2018M06;45
Total;04 Balears, Illes;2018M05;87
Total;04 Balears, Illes;2018M04;65
Total;04 Balears, Illes;2018M03;68
Total;04 Balears, Illes;2018M02;144
Total;04 Balears, Illes;2018M01;178
Total;04 Balears, Illes;2017M12;120
Total;04 Balears, Illes;2017M11;97
Total;04 Balears, Illes;2017M10;58
Total;04 Balears, Illes;2017M09;40
Total;04 Balears, Illes;2017M08;60
Total;04 Balears, Illes;2017M07;46
Total;04 Balears, Illes;2017M06;63
Total;04 Balears, Illes;2017M05;55
Total;04 Balears, Illes;2017M04;49
Total;04 Balears, Illes;2017M03;72
Total;04 Balears, Illes;2017M02;83
Total;04 Balears, Illes;2017M01;173
Total;04 Balears, Illes;2016M12;134
Total;04 Balears, Illes;2016M11;76
Total;04 Balears, Illes;2016M10;58
Total;04 Balears, Illes;2016M09;46
Total;04 Balears, Illes;2016M08;34
Total;04 Balears, Illes;2016M07;65
Total;04 Balears, Illes;2016M06;44
Total;04 Balears, Illes;2016M05;56
Total;04 Balears, Illes;2016M04;46
Total;04 Balears, Illes;2016M03;73
Total;04 Balears, Illes;2016M02;96
Total;04 Balears, Illes;2016M01;130
Total;04 Balears, Illes;2015M12;106
Total;04 Balears, Illes;2015M11;71
Total;04 Balears, Illes;2015M10;60
Total;04 Balears, Illes;2015M09;54
Total;04 Balears, Illes;2015M08;41
Total;04 Balears, Illes;2015M07;47
Total;04 Balears, Illes;2015M06;51
Total;04 Balears, Illes;2015M05;72
Total;04 Balears, Illes;2015M04;42
Total;04 Balears, Illes;2015M03;63
Total;04 Balears, Illes;2015M02;75
Total;04 Balears, Illes;2015M01;108
Total;04 Balears, Illes;2014M12;89
Total;04 Balears, Illes;2014M11;74
Total;04 Balears, Illes;2014M10;58
Total;04 Balears, Illes;2014M09;69
Total;04 Balears, Illes;2014M08;41
Total;04 Balears, Illes;2014M07;48
Total;04 Balears, Illes;2014M06;65
Total;04 Balears, Illes;2014M05;43
Total;04 Balears, Illes;2014M04;40
Total;04 Balears, Illes;2014M03;74
Total;04 Balears, Illes;2014M02;92
Total;04 Balears, Illes;2014M01;140
Total;04 Balears, Illes;2013M12;100
Total;04 Balears, Illes;2013M11;59
Total;04 Balears, Illes;2013M10;70
Total;04 Balears, Illes;2013M09;34
Total;04 Balears, Illes;2013M08;44
Total;04 Balears, Illes;2013M07;67
Total;04 Balears, Illes;2013M06;46
Total;04 Balears, Illes;2013M05;65
Total;04 Balears, Illes;2013M04;72
Total;04 Balears, Illes;2013M03;59
Total;04 Balears, Illes;2013M02;87
Total;04 Balears, Illes;2013M01;129
Total;04 Balears, Illes;2012M12;114
Total;04 Balears, Illes;2012M11;68
Total;04 Balears, Illes;2012M10;62
Total;04 Balears, Illes;2012M09;40
Total;04 Balears, Illes;2012M08;51
Total;04 Balears, Illes;2012M07;57
Total;04 Balears, Illes;2012M06;61
Total;04 Balears, Illes;2012M05;77
Total;04 Balears, Illes;2012M04;36
Total;04 Balears, Illes;2012M03;76
Total;04 Balears, Illes;2012M02;56
Total;04 Balears, Illes;2012M01;160
Total;04 Balears, Illes;2011M12;105
Total;04 Balears, Illes;2011M11;78
Total;04 Balears, Illes;2011M10;56
Total;04 Balears, Illes;2011M09;44
Total;04 Balears, Illes;2011M08;44
Total;04 Balears, Illes;2011M07;40
Total;04 Balears, Illes;2011M06;57
Total;04 Balears, Illes;2011M05;45
Total;04 Balears, Illes;2011M04;68
Total;04 Balears, Illes;2011M03;81
Total;04 Balears, Illes;2011M02;78
Total;04 Balears, Illes;2011M01;98
Total;04 Balears, Illes;2010M12;94
Total;04 Balears, Illes;2010M11;69
Total;04 Balears, Illes;2010M10;49
Total;04 Balears, Illes;2010M09;35
Total;04 Balears, Illes;2010M08;51
Total;04 Balears, Illes;2010M07;46
Total;04 Balears, Illes;2010M06;51
Total;04 Balears, Illes;2010M05;36
Total;04 Balears, Illes;2010M04;49
Total;04 Balears, Illes;2010M03;52
Total;04 Balears, Illes;2010M02;75
Total;04 Balears, Illes;2010M01;100
Total;04 Balears, Illes;2009M12;92
Total;04 Balears, Illes;2009M11;74
Total;04 Balears, Illes;2009M10;60
Total;04 Balears, Illes;2009M09;40
Total;04 Balears, Illes;2009M08;37
Total;04 Balears, Illes;2009M07;27
Total;04 Balears, Illes;2009M06;47
Total;04 Balears, Illes;2009M05;36
Total;04 Balears, Illes;2009M04;40
Total;04 Balears, Illes;2009M03;41
Total;04 Balears, Illes;2009M02;53
Total;04 Balears, Illes;2009M01;96
Total;04 Balears, Illes;2008M12;75
Total;04 Balears, Illes;2008M11;45
Total;04 Balears, Illes;2008M10;45
Total;04 Balears, Illes;2008M09;47
Total;04 Balears, Illes;2008M08;32
Total;04 Balears, Illes;2008M07;38
Total;04 Balears, Illes;2008M06;30
Total;04 Balears, Illes;2008M05;45
Total;04 Balears, Illes;2008M04;46
Total;04 Balears, Illes;2008M03;39
Total;04 Balears, Illes;2008M02;69
Total;04 Balears, Illes;2008M01;115
Total;04 Balears, Illes;2007M12;""
Total;04 Balears, Illes;2007M11;""
Total;04 Balears, Illes;2007M10;""
Total;04 Balears, Illes;2007M09;""
Total;04 Balears, Illes;2007M08;""
Total;04 Balears, Illes;2007M07;""
Total;04 Balears, Illes;2007M06;""
Total;04 Balears, Illes;2007M05;""
Total;04 Balears, Illes;2007M04;""
Total;04 Balears, Illes;2007M03;""
Total;04 Balears, Illes;2007M02;""
Total;04 Balears, Illes;2007M01;""
Total;04 Balears, Illes;2006M12;""
Total;04 Balears, Illes;2006M11;""
Total;04 Balears, Illes;2006M10;""
Total;04 Balears, Illes;2006M09;""
Total;04 Balears, Illes;2006M08;""
Total;04 Balears, Illes;2006M07;""
Total;04 Balears, Illes;2006M06;""
Total;04 Balears, Illes;2006M05;""
Total;04 Balears, Illes;2006M04;""
Total;04 Balears, Illes;2006M03;""
Total;04 Balears, Illes;2006M02;""
Total;04 Balears, Illes;2006M01;""
Total;04 Balears, Illes;2005M12;""
Total;04 Balears, Illes;2005M11;""
Total;04 Balears, Illes;2005M10;""
Total;04 Balears, Illes;2005M09;""
Total;04 Balears, Illes;2005M08;""
Total;04 Balears, Illes;2005M07;""
Total;04 Balears, Illes;2005M06;""
Total;04 Balears, Illes;2005M05;""
Total;04 Balears, Illes;2005M04;""
Total;04 Balears, Illes;2005M03;""
Total;04 Balears, Illes;2005M02;""
Total;04 Balears, Illes;2005M01;""
Total;04 Balears, Illes;2004M12;""
Total;04 Balears, Illes;2004M11;""
Total;04 Balears, Illes;2004M10;""
Total;04 Balears, Illes;2004M09;""
Total;04 Balears, Illes;2004M08;""
Total;04 Balears, Illes;2004M07;""
Total;04 Balears, Illes;2004M06;""
Total;04 Balears, Illes;2004M05;""
Total;04 Balears, Illes;2004M04;""
Total;04 Balears, Illes;2004M03;""
Total;04 Balears, Illes;2004M02;""
Total;04 Balears, Illes;2004M01;""
Total;04 Balears, Illes;2003M12;""
Total;04 Balears, Illes;2003M11;""
Total;04 Balears, Illes;2003M10;""
Total;04 Balears, Illes;2003M09;""
Total;04 Balears, Illes;2003M08;""
Total;04 Balears, Illes;2003M07;""
Total;04 Balears, Illes;2003M06;""
Total;04 Balears, Illes;2003M05;""
Total;04 Balears, Illes;2003M04;""
Total;04 Balears, Illes;2003M03;""
Total;04 Balears, Illes;2003M02;""
Total;04 Balears, Illes;2003M01;""
Total;04 Balears, Illes;2002M12;""
Total;04 Balears, Illes;2002M11;""
Total;04 Balears, Illes;2002M10;""
Total;04 Balears, Illes;2002M09;""
Total;04 Balears, Illes;2002M08;""
Total;04 Balears, Illes;2002M07;""
Total;04 Balears, Illes;2002M06;""
Total;04 Balears, Illes;2002M05;""
Total;04 Balears, Illes;2002M04;""
Total;04 Balears, Illes;2002M03;""
Total;04 Balears, Illes;2002M02;""
Total;04 Balears, Illes;2002M01;""
Total;04 Balears, Illes;2001M12;""
Total;04 Balears, Illes;2001M11;""
Total;04 Balears, Illes;2001M10;""
Total;04 Balears, Illes;2001M09;""
Total;04 Balears, Illes;2001M08;""
Total;04 Balears, Illes;2001M07;""
Total;04 Balears, Illes;2001M06;""
Total;04 Balears, Illes;2001M05;""
Total;04 Balears, Illes;2001M04;""
Total;04 Balears, Illes;2001M03;""
Total;04 Balears, Illes;2001M02;""
Total;04 Balears, Illes;2001M01;""
Total;04 Balears, Illes;2000M12;""
Total;04 Balears, Illes;2000M11;""
Total;04 Balears, Illes;2000M10;""
Total;04 Balears, Illes;2000M09;""
Total;04 Balears, Illes;2000M08;""
Total;04 Balears, Illes;2000M07;""
Total;04 Balears, Illes;2000M06;""
Total;04 Balears, Illes;2000M05;""
Total;04 Balears, Illes;2000M04;""
Total;04 Balears, Illes;2000M03;""
Total;04 Balears, Illes;2000M02;""
Total;04 Balears, Illes;2000M01;""
Total;04 Balears, Illes;1999M12;""
Total;04 Balears, Illes;1999M11;""
Total;04 Balears, Illes;1999M10;""
Total;04 Balears, Illes;1999M09;""
Total;04 Balears, Illes;1999M08;""
Total;04 Balears, Illes;1999M07;""
Total;04 Balears, Illes;1999M06;""
Total;04 Balears, Illes;1999M05;""
Total;04 Balears, Illes;1999M04;""
Total;04 Balears, Illes;1999M03;""
Total;04 Balears, Illes;1999M02;""
Total;04 Balears, Illes;1999M01;""
Total;04 Balears, Illes;1998M12;""
Total;04 Balears, Illes;1998M11;""
Total;04 Balears, Illes;1998M10;""
Total;04 Balears, Illes;1998M09;""
Total;04 Balears, Illes;1998M08;""
Total;04 Balears, Illes;1998M07;""
Total;04 Balears, Illes;1998M06;""
Total;04 Balears, Illes;1998M05;""
Total;04 Balears, Illes;1998M04;""
Total;04 Balears, Illes;1998M03;""
Total;04 Balears, Illes;1998M02;""
Total;04 Balears, Illes;1998M01;""
Total;04 Balears, Illes;1997M12;""
Total;04 Balears, Illes;1997M11;""
Total;04 Balears, Illes;1997M10;""
Total;04 Balears, Illes;1997M09;""
Total;04 Balears, Illes;1997M08;""
Total;04 Balears, Illes;1997M07;""
Total;04 Balears, Illes;1997M06;""
Total;04 Balears, Illes;1997M05;""
Total;04 Balears, Illes;1997M04;""
Total;04 Balears, Illes;1997M03;""
Total;04 Balears, Illes;1997M02;""
Total;04 Balears, Illes;1997M01;""
Total;04 Balears, Illes;1996M12;""
Total;04 Balears, Illes;1996M11;""
Total;04 Balears, Illes;1996M10;""
Total;04 Balears, Illes;1996M09;""
Total;04 Balears, Illes;1996M08;""
Total;04 Balears, Illes;1996M07;""
Total;04 Balears, Illes;1996M06;""
Total;04 Balears, Illes;1996M05;""
Total;04 Balears, Illes;1996M04;""
Total;04 Balears, Illes;1996M03;""
Total;04 Balears, Illes;1996M02;""
Total;04 Balears, Illes;1996M01;""
Total;04 Balears, Illes;1995M12;""
Total;04 Balears, Illes;1995M11;""
Total;04 Balears, Illes;1995M10;""
Total;04 Balears, Illes;1995M09;""
Total;04 Balears, Illes;1995M08;""
Total;04 Balears, Illes;1995M07;""
Total;04 Balears, Illes;1995M06;""
Total;04 Balears, Illes;1995M05;""
Total;04 Balears, Illes;1995M04;""
Total;04 Balears, Illes;1995M03;""
Total;04 Balears, Illes;1995M02;""
Total;04 Balears, Illes;1995M01;""
Total;05 Canarias;2025M05;70
Total;05 Canarias;2025M04;86
Total;05 Canarias;2025M03;71
Total;05 Canarias;2025M02;79
Total;05 Canarias;2025M01;143
Total;05 Canarias;2024M12;144
Total;05 Canarias;2024M11;98
Total;05 Canarias;2024M10;76
Total;05 Canarias;2024M09;38
Total;05 Canarias;2024M08;66
Total;05 Canarias;2024M07;49
Total;05 Canarias;2024M06;64
Total;05 Canarias;2024M05;59
Total;05 Canarias;2024M04;102
Total;05 Canarias;2024M03;82
Total;05 Canarias;2024M02;107
Total;05 Canarias;2024M01;200
Total;05 Canarias;2023M12;98
Total;05 Canarias;2023M11;79
Total;05 Canarias;2023M10;59
Total;05 Canarias;2023M09;69
Total;05 Canarias;2023M08;66
Total;05 Canarias;2023M07;81
Total;05 Canarias;2023M06;74
Total;05 Canarias;2023M05;52
Total;05 Canarias;2023M04;57
Total;05 Canarias;2023M03;84
Total;05 Canarias;2023M02;97
Total;05 Canarias;2023M01;172
Total;05 Canarias;2022M12;117
Total;05 Canarias;2022M11;108
Total;05 Canarias;2022M10;64
Total;05 Canarias;2022M09;52
Total;05 Canarias;2022M08;47
Total;05 Canarias;2022M07;75
Total;05 Canarias;2022M06;70
Total;05 Canarias;2022M05;77
Total;05 Canarias;2022M04;65
Total;05 Canarias;2022M03;73
Total;05 Canarias;2022M02;108
Total;05 Canarias;2022M01;161
Total;05 Canarias;2021M12;134
Total;05 Canarias;2021M11;72
Total;05 Canarias;2021M10;58
Total;05 Canarias;2021M09;65
Total;05 Canarias;2021M08;49
Total;05 Canarias;2021M07;62
Total;05 Canarias;2021M06;63
Total;05 Canarias;2021M05;65
Total;05 Canarias;2021M04;68
Total;05 Canarias;2021M03;88
Total;05 Canarias;2021M02;81
Total;05 Canarias;2021M01;145
Total;05 Canarias;2020M12;118
Total;05 Canarias;2020M11;78
Total;05 Canarias;2020M10;75
Total;05 Canarias;2020M09;50
Total;05 Canarias;2020M08;60
Total;05 Canarias;2020M07;43
Total;05 Canarias;2020M06;38
Total;05 Canarias;2020M05;10
Total;05 Canarias;2020M04;3
Total;05 Canarias;2020M03;51
Total;05 Canarias;2020M02;98
Total;05 Canarias;2020M01;153
Total;05 Canarias;2019M12;85
Total;05 Canarias;2019M11;70
Total;05 Canarias;2019M10;75
Total;05 Canarias;2019M09;50
Total;05 Canarias;2019M08;55
Total;05 Canarias;2019M07;63
Total;05 Canarias;2019M06;58
Total;05 Canarias;2019M05;80
Total;05 Canarias;2019M04;62
Total;05 Canarias;2019M03;86
Total;05 Canarias;2019M02;88
Total;05 Canarias;2019M01;147
Total;05 Canarias;2018M12;101
Total;05 Canarias;2018M11;83
Total;05 Canarias;2018M10;70
Total;05 Canarias;2018M09;43
Total;05 Canarias;2018M08;43
Total;05 Canarias;2018M07;51
Total;05 Canarias;2018M06;63
Total;05 Canarias;2018M05;60
Total;05 Canarias;2018M04;65
Total;05 Canarias;2018M03;71
Total;05 Canarias;2018M02;84
Total;05 Canarias;2018M01;173
Total;05 Canarias;2017M12;88
Total;05 Canarias;2017M11;68
Total;05 Canarias;2017M10;55
Total;05 Canarias;2017M09;40
Total;05 Canarias;2017M08;61
Total;05 Canarias;2017M07;47
Total;05 Canarias;2017M06;57
Total;05 Canarias;2017M05;51
Total;05 Canarias;2017M04;55
Total;05 Canarias;2017M03;81
Total;05 Canarias;2017M02;84
Total;05 Canarias;2017M01;156
Total;05 Canarias;2016M12;68
Total;05 Canarias;2016M11;65
Total;05 Canarias;2016M10;55
Total;05 Canarias;2016M09;54
Total;05 Canarias;2016M08;56
Total;05 Canarias;2016M07;41
Total;05 Canarias;2016M06;54
Total;05 Canarias;2016M05;51
Total;05 Canarias;2016M04;70
Total;05 Canarias;2016M03;68
Total;05 Canarias;2016M02;82
Total;05 Canarias;2016M01;131
Total;05 Canarias;2015M12;118
Total;05 Canarias;2015M11;78
Total;05 Canarias;2015M10;61
Total;05 Canarias;2015M09;45
Total;05 Canarias;2015M08;50
Total;05 Canarias;2015M07;56
Total;05 Canarias;2015M06;49
Total;05 Canarias;2015M05;56
Total;05 Canarias;2015M04;60
Total;05 Canarias;2015M03;84
Total;05 Canarias;2015M02;83
Total;05 Canarias;2015M01;119
Total;05 Canarias;2014M12;122
Total;05 Canarias;2014M11;67
Total;05 Canarias;2014M10;69
Total;05 Canarias;2014M09;41
Total;05 Canarias;2014M08;51
Total;05 Canarias;2014M07;63
Total;05 Canarias;2014M06;55
Total;05 Canarias;2014M05;60
Total;05 Canarias;2014M04;77
Total;05 Canarias;2014M03;65
Total;05 Canarias;2014M02;87
Total;05 Canarias;2014M01;158
Total;05 Canarias;2013M12;97
Total;05 Canarias;2013M11;78
Total;05 Canarias;2013M10;57
Total;05 Canarias;2013M09;49
Total;05 Canarias;2013M08;68
Total;05 Canarias;2013M07;65
Total;05 Canarias;2013M06;49
Total;05 Canarias;2013M05;73
Total;05 Canarias;2013M04;87
Total;05 Canarias;2013M03;96
Total;05 Canarias;2013M02;109
Total;05 Canarias;2013M01;149
Total;05 Canarias;2012M12;114
Total;05 Canarias;2012M11;82
Total;05 Canarias;2012M10;53
Total;05 Canarias;2012M09;69
Total;05 Canarias;2012M08;65
Total;05 Canarias;2012M07;68
Total;05 Canarias;2012M06;48
Total;05 Canarias;2012M05;54
Total;05 Canarias;2012M04;68
Total;05 Canarias;2012M03;85
Total;05 Canarias;2012M02;100
Total;05 Canarias;2012M01;113
Total;05 Canarias;2011M12;114
Total;05 Canarias;2011M11;63
Total;05 Canarias;2011M10;57
Total;05 Canarias;2011M09;44
Total;05 Canarias;2011M08;36
Total;05 Canarias;2011M07;55
Total;05 Canarias;2011M06;51
Total;05 Canarias;2011M05;46
Total;05 Canarias;2011M04;44
Total;05 Canarias;2011M03;55
Total;05 Canarias;2011M02;109
Total;05 Canarias;2011M01;145
Total;05 Canarias;2010M12;113
Total;05 Canarias;2010M11;68
Total;05 Canarias;2010M10;52
Total;05 Canarias;2010M09;48
Total;05 Canarias;2010M08;42
Total;05 Canarias;2010M07;43
Total;05 Canarias;2010M06;57
Total;05 Canarias;2010M05;48
Total;05 Canarias;2010M04;32
Total;05 Canarias;2010M03;72
Total;05 Canarias;2010M02;97
Total;05 Canarias;2010M01;126
Total;05 Canarias;2009M12;106
Total;05 Canarias;2009M11;62
Total;05 Canarias;2009M10;52
Total;05 Canarias;2009M09;43
Total;05 Canarias;2009M08;53
Total;05 Canarias;2009M07;54
Total;05 Canarias;2009M06;44
Total;05 Canarias;2009M05;49
Total;05 Canarias;2009M04;77
Total;05 Canarias;2009M03;81
Total;05 Canarias;2009M02;97
Total;05 Canarias;2009M01;116
Total;05 Canarias;2008M12;77
Total;05 Canarias;2008M11;63
Total;05 Canarias;2008M10;44
Total;05 Canarias;2008M09;47
Total;05 Canarias;2008M08;24
Total;05 Canarias;2008M07;29
Total;05 Canarias;2008M06;30
Total;05 Canarias;2008M05;25
Total;05 Canarias;2008M04;60
Total;05 Canarias;2008M03;39
Total;05 Canarias;2008M02;72
Total;05 Canarias;2008M01;82
Total;05 Canarias;2007M12;""
Total;05 Canarias;2007M11;""
Total;05 Canarias;2007M10;""
Total;05 Canarias;2007M09;""
Total;05 Canarias;2007M08;""
Total;05 Canarias;2007M07;""
Total;05 Canarias;2007M06;""
Total;05 Canarias;2007M05;""
Total;05 Canarias;2007M04;""
Total;05 Canarias;2007M03;""
Total;05 Canarias;2007M02;""
Total;05 Canarias;2007M01;""
Total;05 Canarias;2006M12;""
Total;05 Canarias;2006M11;""
Total;05 Canarias;2006M10;""
Total;05 Canarias;2006M09;""
Total;05 Canarias;2006M08;""
Total;05 Canarias;2006M07;""
Total;05 Canarias;2006M06;""
Total;05 Canarias;2006M05;""
Total;05 Canarias;2006M04;""
Total;05 Canarias;2006M03;""
Total;05 Canarias;2006M02;""
Total;05 Canarias;2006M01;""
Total;05 Canarias;2005M12;""
Total;05 Canarias;2005M11;""
Total;05 Canarias;2005M10;""
Total;05 Canarias;2005M09;""
Total;05 Canarias;2005M08;""
Total;05 Canarias;2005M07;""
Total;05 Canarias;2005M06;""
Total;05 Canarias;2005M05;""
Total;05 Canarias;2005M04;""
Total;05 Canarias;2005M03;""
Total;05 Canarias;2005M02;""
Total;05 Canarias;2005M01;""
Total;05 Canarias;2004M12;""
Total;05 Canarias;2004M11;""
Total;05 Canarias;2004M10;""
Total;05 Canarias;2004M09;""
Total;05 Canarias;2004M08;""
Total;05 Canarias;2004M07;""
Total;05 Canarias;2004M06;""
Total;05 Canarias;2004M05;""
Total;05 Canarias;2004M04;""
Total;05 Canarias;2004M03;""
Total;05 Canarias;2004M02;""
Total;05 Canarias;2004M01;""
Total;05 Canarias;2003M12;""
Total;05 Canarias;2003M11;""
Total;05 Canarias;2003M10;""
Total;05 Canarias;2003M09;""
Total;05 Canarias;2003M08;""
Total;05 Canarias;2003M07;""
Total;05 Canarias;2003M06;""
Total;05 Canarias;2003M05;""
Total;05 Canarias;2003M04;""
Total;05 Canarias;2003M03;""
Total;05 Canarias;2003M02;""
Total;05 Canarias;2003M01;""
Total;05 Canarias;2002M12;""
Total;05 Canarias;2002M11;""
Total;05 Canarias;2002M10;""
Total;05 Canarias;2002M09;""
Total;05 Canarias;2002M08;""
Total;05 Canarias;2002M07;""
Total;05 Canarias;2002M06;""
Total;05 Canarias;2002M05;""
Total;05 Canarias;2002M04;""
Total;05 Canarias;2002M03;""
Total;05 Canarias;2002M02;""
Total;05 Canarias;2002M01;""
Total;05 Canarias;2001M12;""
Total;05 Canarias;2001M11;""
Total;05 Canarias;2001M10;""
Total;05 Canarias;2001M09;""
Total;05 Canarias;2001M08;""
Total;05 Canarias;2001M07;""
Total;05 Canarias;2001M06;""
Total;05 Canarias;2001M05;""
Total;05 Canarias;2001M04;""
Total;05 Canarias;2001M03;""
Total;05 Canarias;2001M02;""
Total;05 Canarias;2001M01;""
Total;05 Canarias;2000M12;""
Total;05 Canarias;2000M11;""
Total;05 Canarias;2000M10;""
Total;05 Canarias;2000M09;""
Total;05 Canarias;2000M08;""
Total;05 Canarias;2000M07;""
Total;05 Canarias;2000M06;""
Total;05 Canarias;2000M05;""
Total;05 Canarias;2000M04;""
Total;05 Canarias;2000M03;""
Total;05 Canarias;2000M02;""
Total;05 Canarias;2000M01;""
Total;05 Canarias;1999M12;""
Total;05 Canarias;1999M11;""
Total;05 Canarias;1999M10;""
Total;05 Canarias;1999M09;""
Total;05 Canarias;1999M08;""
Total;05 Canarias;1999M07;""
Total;05 Canarias;1999M06;""
Total;05 Canarias;1999M05;""
Total;05 Canarias;1999M04;""
Total;05 Canarias;1999M03;""
Total;05 Canarias;1999M02;""
Total;05 Canarias;1999M01;""
Total;05 Canarias;1998M12;""
Total;05 Canarias;1998M11;""
Total;05 Canarias;1998M10;""
Total;05 Canarias;1998M09;""
Total;05 Canarias;1998M08;""
Total;05 Canarias;1998M07;""
Total;05 Canarias;1998M06;""
Total;05 Canarias;1998M05;""
Total;05 Canarias;1998M04;""
Total;05 Canarias;1998M03;""
Total;05 Canarias;1998M02;""
Total;05 Canarias;1998M01;""
Total;05 Canarias;1997M12;""
Total;05 Canarias;1997M11;""
Total;05 Canarias;1997M10;""
Total;05 Canarias;1997M09;""
Total;05 Canarias;1997M08;""
Total;05 Canarias;1997M07;""
Total;05 Canarias;1997M06;""
Total;05 Canarias;1997M05;""
Total;05 Canarias;1997M04;""
Total;05 Canarias;1997M03;""
Total;05 Canarias;1997M02;""
Total;05 Canarias;1997M01;""
