Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Total;Total Nacional;2011M07;1.217
Total;Total Nacional;2011M06;1.404
Total;Total Nacional;2011M05;1.446
Total;Total Nacional;2011M04;1.204
Total;Total Nacional;2011M03;2.001
Total;Total Nacional;2011M02;2.024
Total;Total Nacional;2011M01;2.848
Total;Total Nacional;2010M12;2.264
Total;Total Nacional;2010M11;1.602
Total;Total Nacional;2010M10;1.311
Total;Total Nacional;2010M09;1.085
Total;Total Nacional;2010M08;982
Total;Total Nacional;2010M07;1.188
Total;Total Nacional;2010M06;1.227
Total;Total Nacional;2010M05;1.430
Total;Total Nacional;2010M04;1.277
Total;Total Nacional;2010M03;1.591
Total;Total Nacional;2010M02;2.032
Total;Total Nacional;2010M01;2.511
Total;Total Nacional;2009M12;2.226
Total;Total Nacional;2009M11;1.503
Total;Total Nacional;2009M10;1.395
Total;Total Nacional;2009M09;1.069
Total;Total Nacional;2009M08;979
Total;Total Nacional;2009M07;1.085
Total;Total Nacional;2009M06;1.172
Total;Total Nacional;2009M05;1.067
Total;Total Nacional;2009M04;1.107
Total;Total Nacional;2009M03;1.547
Total;Total Nacional;2009M02;1.895
Total;Total Nacional;2009M01;2.371
Total;Total Nacional;2008M12;1.871
Total;Total Nacional;2008M11;1.479
Total;Total Nacional;2008M10;1.266
Total;Total Nacional;2008M09;1.198
Total;Total Nacional;2008M08;741
Total;Total Nacional;2008M07;1.061
Total;Total Nacional;2008M06;835
Total;Total Nacional;2008M05;1.088
Total;Total Nacional;2008M04;1.193
Total;Total Nacional;2008M03;1.066
Total;Total Nacional;2008M02;1.929
Total;Total Nacional;2008M01;2.495
Total;Total Nacional;2007M12;2.342
Total;Total Nacional;2007M11;1.693
Total;Total Nacional;2007M10;1.705
Total;Total Nacional;2007M09;1.282
Total;Total Nacional;2007M08;1.555
Total;Total Nacional;2007M07;2.037
Total;Total Nacional;2007M06;1.169
Total;Total Nacional;2007M05;1.039
Total;Total Nacional;2007M04;895
Total;Total Nacional;2007M03;1.211
Total;Total Nacional;2007M02;1.361
Total;Total Nacional;2007M01;1.758
Total;Total Nacional;2006M12;1.254
Total;Total Nacional;2006M11;1.013
Total;Total Nacional;2006M10;806
Total;Total Nacional;2006M09;722
Total;Total Nacional;2006M08;574
Total;Total Nacional;2006M07;635
Total;Total Nacional;2006M06;755
Total;Total Nacional;2006M05;814
Total;Total Nacional;2006M04;672
Total;Total Nacional;2006M03;1.029
Total;Total Nacional;2006M02;1.225
Total;Total Nacional;2006M01;1.572
Total;Total Nacional;2005M12;1.043
Total;Total Nacional;2005M11;843
Total;Total Nacional;2005M10;720
Total;Total Nacional;2005M09;679
Total;Total Nacional;2005M08;544
Total;Total Nacional;2005M07;608
Total;Total Nacional;2005M06;676
Total;Total Nacional;2005M05;681
Total;Total Nacional;2005M04;751
Total;Total Nacional;2005M03;831
Total;Total Nacional;2005M02;1.129
Total;Total Nacional;2005M01;1.242
Total;Total Nacional;2004M12;857
Total;Total Nacional;2004M11;827
Total;Total Nacional;2004M10;717
Total;Total Nacional;2004M09;729
Total;Total Nacional;2004M08;526
Total;Total Nacional;2004M07;806
Total;Total Nacional;2004M06;1.009
Total;Total Nacional;2004M05;806
Total;Total Nacional;2004M04;855
Total;Total Nacional;2004M03;1.277
Total;Total Nacional;2004M02;1.745
Total;Total Nacional;2004M01;1.930
Total;Total Nacional;2003M12;1.177
Total;Total Nacional;2003M11;888
Total;Total Nacional;2003M10;788
Total;Total Nacional;2003M09;761
Total;Total Nacional;2003M08;429
Total;Total Nacional;2003M07;683
Total;Total Nacional;2003M06;672
Total;Total Nacional;2003M05;675
Total;Total Nacional;2003M04;645
Total;Total Nacional;2003M03;771
Total;Total Nacional;2003M02;934
Total;Total Nacional;2003M01;1.111
Total;Total Nacional;2002M12;788
Total;Total Nacional;2002M11;764
Total;Total Nacional;2002M10;900
Total;Total Nacional;2002M09;585
Total;Total Nacional;2002M08;390
Total;Total Nacional;2002M07;590
Total;Total Nacional;2002M06;700
Total;Total Nacional;2002M05;604
Total;Total Nacional;2002M04;745
Total;Total Nacional;2002M03;887
Total;Total Nacional;2002M02;1.190
Total;Total Nacional;2002M01;1.115
Total;Total Nacional;2001M12;776
Total;Total Nacional;2001M11;775
Total;Total Nacional;2001M10;743
Total;Total Nacional;2001M09;515
Total;Total Nacional;2001M08;331
Total;Total Nacional;2001M07;572
Total;Total Nacional;2001M06;505
Total;Total Nacional;2001M05;674
Total;Total Nacional;2001M04;544
Total;Total Nacional;2001M03;869
Total;Total Nacional;2001M02;889
Total;Total Nacional;2001M01;1.093
Total;Total Nacional;2000M12;648
Total;Total Nacional;2000M11;888
Total;Total Nacional;2000M10;676
Total;Total Nacional;2000M09;584
Total;Total Nacional;2000M08;328
Total;Total Nacional;2000M07;445
Total;Total Nacional;2000M06;645
Total;Total Nacional;2000M05;582
Total;Total Nacional;2000M04;512
Total;Total Nacional;2000M03;897
Total;Total Nacional;2000M02;1.012
Total;Total Nacional;2000M01;880
Total;Total Nacional;1999M12;667
Total;Total Nacional;1999M11;1.854
Total;Total Nacional;1999M10;495
Total;Total Nacional;1999M09;499
Total;Total Nacional;1999M08;330
Total;Total Nacional;1999M07;545
Total;Total Nacional;1999M06;632
Total;Total Nacional;1999M05;557
Total;Total Nacional;1999M04;560
Total;Total Nacional;1999M03;748
Total;Total Nacional;1999M02;922
Total;Total Nacional;1999M01;1.024
Total;Total Nacional;1998M12;655
Total;Total Nacional;1998M11;722
Total;Total Nacional;1998M10;758
Total;Total Nacional;1998M09;619
Total;Total Nacional;1998M08;332
Total;Total Nacional;1998M07;709
Total;Total Nacional;1998M06;675
Total;Total Nacional;1998M05;628
Total;Total Nacional;1998M04;562
Total;Total Nacional;1998M03;851
Total;Total Nacional;1998M02;896
Total;Total Nacional;1998M01;939
Total;Total Nacional;1997M12;753
Total;Total Nacional;1997M11;872
Total;Total Nacional;1997M10;1.733
Total;Total Nacional;1997M09;557
Total;Total Nacional;1997M08;341
Total;Total Nacional;1997M07;621
Total;Total Nacional;1997M06;756
Total;Total Nacional;1997M05;701
Total;Total Nacional;1997M04;857
Total;Total Nacional;1997M03;1.025
Total;Total Nacional;1997M02;1.157
Total;Total Nacional;1997M01;1.153
Total;Total Nacional;1996M12;1.103
Total;Total Nacional;1996M11;1.259
Total;Total Nacional;1996M10;1.553
Total;Total Nacional;1996M09;2.726
Total;Total Nacional;1996M08;490
Total;Total Nacional;1996M07;1.088
Total;Total Nacional;1996M06;1.195
Total;Total Nacional;1996M05;1.429
Total;Total Nacional;1996M04;1.532
Total;Total Nacional;1996M03;2.687
Total;Total Nacional;1996M02;1.809
Total;Total Nacional;1996M01;1.215
Total;Total Nacional;1995M12;329
Total;Total Nacional;1995M11;384
Total;Total Nacional;1995M10;387
Total;Total Nacional;1995M09;341
Total;Total Nacional;1995M08;209
Total;Total Nacional;1995M07;307
Total;Total Nacional;1995M06;359
Total;Total Nacional;1995M05;368
Total;Total Nacional;1995M04;286
Total;Total Nacional;1995M03;454
Total;Total Nacional;1995M02;445
Total;Total Nacional;1995M01;471
Total;01 Andalucía;2025M05;323
Total;01 Andalucía;2025M04;285
Total;01 Andalucía;2025M03;365
Total;01 Andalucía;2025M02;432
Total;01 Andalucía;2025M01;667
Total;01 Andalucía;2024M12;575
Total;01 Andalucía;2024M11;426
Total;01 Andalucía;2024M10;362
Total;01 Andalucía;2024M09;267
Total;01 Andalucía;2024M08;207
Total;01 Andalucía;2024M07;277
Total;01 Andalucía;2024M06;246
Total;01 Andalucía;2024M05;241
Total;01 Andalucía;2024M04;321
Total;01 Andalucía;2024M03;357
Total;01 Andalucía;2024M02;425
Total;01 Andalucía;2024M01;623
Total;01 Andalucía;2023M12;434
Total;01 Andalucía;2023M11;356
Total;01 Andalucía;2023M10;270
Total;01 Andalucía;2023M09;229
Total;01 Andalucía;2023M08;194
Total;01 Andalucía;2023M07;253
Total;01 Andalucía;2023M06;260
Total;01 Andalucía;2023M05;293
Total;01 Andalucía;2023M04;249
Total;01 Andalucía;2023M03;429
Total;01 Andalucía;2023M02;347
Total;01 Andalucía;2023M01;532
Total;01 Andalucía;2022M12;494
Total;01 Andalucía;2022M11;389
Total;01 Andalucía;2022M10;237
Total;01 Andalucía;2022M09;248
Total;01 Andalucía;2022M08;216
Total;01 Andalucía;2022M07;247
Total;01 Andalucía;2022M06;261
Total;01 Andalucía;2022M05;289
Total;01 Andalucía;2022M04;238
Total;01 Andalucía;2022M03;377
Total;01 Andalucía;2022M02;428
Total;01 Andalucía;2022M01;568
Total;01 Andalucía;2021M12;471
Total;01 Andalucía;2021M11;321
Total;01 Andalucía;2021M10;254
Total;01 Andalucía;2021M09;179
Total;01 Andalucía;2021M08;210
Total;01 Andalucía;2021M07;213
Total;01 Andalucía;2021M06;272
Total;01 Andalucía;2021M05;267
Total;01 Andalucía;2021M04;284
Total;01 Andalucía;2021M03;357
Total;01 Andalucía;2021M02;344
Total;01 Andalucía;2021M01;420
Total;01 Andalucía;2020M12;419
Total;01 Andalucía;2020M11;288
Total;01 Andalucía;2020M10;255
Total;01 Andalucía;2020M09;322
Total;01 Andalucía;2020M08;153
Total;01 Andalucía;2020M07;170
Total;01 Andalucía;2020M06;162
Total;01 Andalucía;2020M05;72
Total;01 Andalucía;2020M04;77
Total;01 Andalucía;2020M03;247
Total;01 Andalucía;2020M02;395
Total;01 Andalucía;2020M01;478
Total;01 Andalucía;2019M12;339
Total;01 Andalucía;2019M11;265
Total;01 Andalucía;2019M10;275
Total;01 Andalucía;2019M09;185
Total;01 Andalucía;2019M08;162
Total;01 Andalucía;2019M07;208
Total;01 Andalucía;2019M06;213
Total;01 Andalucía;2019M05;220
Total;01 Andalucía;2019M04;242
Total;01 Andalucía;2019M03;318
Total;01 Andalucía;2019M02;371
Total;01 Andalucía;2019M01;516
Total;01 Andalucía;2018M12;443
Total;01 Andalucía;2018M11;297
Total;01 Andalucía;2018M10;246
Total;01 Andalucía;2018M09;178
Total;01 Andalucía;2018M08;164
Total;01 Andalucía;2018M07;175
Total;01 Andalucía;2018M06;226
Total;01 Andalucía;2018M05;213
Total;01 Andalucía;2018M04;252
Total;01 Andalucía;2018M03;285
Total;01 Andalucía;2018M02;354
Total;01 Andalucía;2018M01;505
Total;01 Andalucía;2017M12;472
Total;01 Andalucía;2017M11;309
Total;01 Andalucía;2017M10;240
Total;01 Andalucía;2017M09;163
Total;01 Andalucía;2017M08;191
Total;01 Andalucía;2017M07;192
Total;01 Andalucía;2017M06;234
Total;01 Andalucía;2017M05;246
Total;01 Andalucía;2017M04;190
Total;01 Andalucía;2017M03;356
Total;01 Andalucía;2017M02;377
Total;01 Andalucía;2017M01;521
Total;01 Andalucía;2016M12;380
Total;01 Andalucía;2016M11;252
