TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,AEROPUERTO_ORIGEN#es,AEROPUERTO_ORIGEN#ca,AEROPUERTO_ORIGEN_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,27.70,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,19.40,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,52.91,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,3.23,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.37,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.40,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,9.30,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,77.29,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
06/2023,06/2023,2023-M06,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,13.41,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,31.97,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,18.54,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,49.49,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.28,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,97.57,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.15,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,9.27,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,78.97,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,11.76,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,35.04,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,14.70,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,50.26,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,6.53,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,92.24,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,1.23,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,15.00,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,69.20,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,15.80,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,50.20,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,8.48,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,41.32,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,11.19,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,87.94,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.87,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,31.72,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,46.12,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
03/2023,03/2023,2023-M03,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,22.16,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,57.03,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,6.26,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,36.70,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,16.05,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,83.38,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.57,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,41.20,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,36.06,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
02/2023,02/2023,2023-M02,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,22.74,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,62.94,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,6.63,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,30.43,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
01/2023,01/2023,2023-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,77.61,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,22.39,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,44.70,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,27.21,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
01/2023,01/2023,2023-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,28.10,Valor normal,Valor normal,A,,,,
2022,2022,2022,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,34.93,Valor normal,Valor normal,A,,,,
2022,2022,2022,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,16.31,Valor normal,Valor normal,A,,,,
2022,2022,2022,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
2022,2022,2022,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,48.76,Valor normal,Valor normal,A,,,,
2022,2022,2022,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,3.47,Valor normal,Valor normal,A,,,,
2022,2022,2022,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.01,Valor normal,Valor normal,A,,,,
2022,2022,2022,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
2022,2022,2022,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.52,Valor normal,Valor normal,A,,,,
2022,2022,2022,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,12.89,Valor normal,Valor normal,A,,,,
2022,2022,2022,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,72.15,Valor normal,Valor normal,A,,,,
2022,2022,2022,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
2022,2022,2022,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,14.97,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,68.34,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,4.88,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,26.78,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,36.21,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,60.62,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,3.17,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,57.60,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,23.52,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
12/2022,12/2022,2022-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,18.88,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,50.19,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,13.43,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,36.39,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,16.88,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,81.98,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,1.14,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,39.51,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,35.40,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
11/2022,11/2022,2022-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,25.09,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,30.20,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,21.67,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,48.13,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.84,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.62,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.54,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,9.80,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,77.55,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
10/2022,10/2022,2022-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,12.65,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,20.63,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,23.49,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,55.88,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.86,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.65,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.50,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,7.00,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,79.60,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
09/2022,09/2022,2022-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,13.40,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,17.72,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,21.65,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,60.63,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,1.11,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,98.42,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.46,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,5.37,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,78.74,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor normal,Valor normal,A,,,,
08/2022,08/2022,2022-M08,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,15.89,Valor normal,Valor normal,A,,,,
07/2022,07/2022,2022-M07,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,20.57,Valor normal,Valor normal,A,,,,
07/2022,07/2022,2022-M07,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,19.16,Valor normal,Valor normal,A,,,,
