TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,AEROPUERTO_ORIGEN#es,AEROPUERTO_ORIGEN#ca,AEROPUERTO_ORIGEN_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
2024,2024,2024,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,45.73,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,3.90,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,95.71,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.40,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,13.46,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,72.85,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
2024,2024,2024,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,13.69,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,63.96,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,7.13,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,28.91,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,31.21,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,65.76,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,3.03,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,51.75,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,28.98,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
12/2024,12/2024,2024-M12,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,19.26,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,49.42,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,12.50,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,38.08,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,14.00,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,85.62,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
11/2024,11/2024,2024-M11,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,35.82,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,40.58,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
11/2024,11/2024,2024-M11,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,23.60,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,31.39,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,26.79,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,41.82,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,1.70,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,98.08,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,,Baja fiabilidad,Baixa fiabilitat,U,,,,
10/2024,10/2024,2024-M10,Illes Balears,Illes Balears,IB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,8.60,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,81.52,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,Total,Total,_T,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,100.00,Valor provisional,Valor provisional,P,,,,
10/2024,10/2024,2024-M10,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjeros y España (excluida Illes Balears),Estrangers i Espanya (exclosa Illes Balears),_T_XES53,9.89,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,Illes Balears,Illes Balears,IB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,21.90,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,28.59,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,100.00,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XES53,49.51,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,Illes Balears,Illes Balears,IB,Extranjero,Estranger,FOREIGN,2.57,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Extranjero,Estranger,FOREIGN,96.83,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,Total,Total,_T,Extranjero,Estranger,FOREIGN,100.00,Valor provisional,Valor provisional,P,,,,
09/2024,09/2024,2024-M09,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Extranjero,Estranger,FOREIGN,0.60,Valor provisional,Valor provisional,P,,,,
