MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Alemanya,Alemania,DE,Total,Total,_T,640006,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Alemanya,Alemania,DE,No,No,NO,341921,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Alemanya,Alemania,DE,Sí,Sí,SI,23.03,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Alemanya,Alemania,DE,Total,Total,_T,3.27,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Alemanya,Alemania,DE,No,No,NO,-9.41,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,36827,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,425537,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,388710,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,-0.93,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,-9.04,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,-9.74,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,25251,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,73342,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,48091,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,-5.33,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,-3.25,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,-2.13,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,160241,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,504828,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,344587,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,14.58,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,-0.68,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,-6.47,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,França,Francia,FR,Sí,Sí,SI,25421,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,França,Francia,FR,Total,Total,_T,106529,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,França,Francia,FR,No,No,NO,81108,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,França,Francia,FR,Sí,Sí,SI,-29.60,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,França,Francia,FR,Total,Total,_T,-14.56,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,França,Francia,FR,No,No,NO,-8.42,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,Sí,Sí,SI,324037,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,Total,Total,_T,628286,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,No,No,NO,304249,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,Sí,Sí,SI,14.58,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,Total,Total,_T,18.74,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,No,No,NO,23.52,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,Sí,Sí,SI,23210,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,Total,Total,_T,106274,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,No,No,NO,83063,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,Sí,Sí,SI,146.79,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,Total,Total,_T,5.20,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,No,No,NO,-9.33,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,742090,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,2095678,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,1353588,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,3.56,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,10.35,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,14.46,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,703876,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,1797943,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,1094067,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,1.48,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,10.26,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,16.76,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,Sí,Sí,SI,231532,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,Total,Total,_T,571132,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,No,No,NO,339599,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,Sí,Sí,SI,-19.60,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,Total,Total,_T,5.41,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,No,No,NO,33.79,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,38214,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,297735,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,259521,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,66.56,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,10.86,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,5.66,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,29982,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,66038,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,36056,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,26.59,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,-4.98,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,-21.30,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,129818,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,449655,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,319837,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,-0.55,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,15.54,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,23.67,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,França,Francia,FR,Sí,Sí,SI,42152,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,França,Francia,FR,Total,Total,_T,128141,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,França,Francia,FR,No,No,NO,85989,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,França,Francia,FR,Sí,Sí,SI,55.39,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,França,Francia,FR,Total,Total,_T,35.03,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,França,Francia,FR,No,No,NO,26.88,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,Sí,Sí,SI,267833,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,Total,Total,_T,511081,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,No,No,NO,243248,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,Sí,Sí,SI,22.75,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,Total,Total,_T,6.69,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,No,No,NO,-6.74,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,Sí,Sí,SI,2558,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,Total,Total,_T,71897,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,No,No,NO,69339,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,Sí,Sí,SI,-57.88,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,Total,Total,_T,27.93,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,No,No,NO,38.33,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,309457,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,1476091,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,1166634,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,3.20,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,12.88,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,15.76,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,280604,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,1182890,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,902287,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,2.89,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,10.53,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,13.13,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,Sí,Sí,SI,129846,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,Total,Total,_T,469563,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,No,No,NO,339717,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,Sí,Sí,SI,-11.07,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,Total,Total,_T,10.75,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,No,No,NO,22.21,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,28853,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,293201,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,264348,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Sí,Sí,SI,6.30,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,Total,Total,_T,23.49,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,No,No,NO,25.71,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,10909,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,39746,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,28837,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,44.28,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,-0.70,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,-11.18,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,52919,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,317086,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,264168,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,-10.73,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,24.99,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,35.88,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,França,Francia,FR,Sí,Sí,SI,13292,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,França,Francia,FR,Total,Total,_T,93622,,,Valor normal,Valor normal,A,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,França,Francia,FR,No,No,NO,80329,,,Valor normal,Valor normal,A,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,França,Francia,FR,Sí,Sí,SI,22.01,,,Valor normal,Valor normal,A,,
