MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Països Nòrdics,Países Nórdicos,5100_L1,Sí,Sí,SI,,,,Valor no disponible,Valor no disponible,O,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Països Nòrdics,Países Nórdicos,5100_L1,Total,Total,_T,-12.54,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Països Nòrdics,Países Nórdicos,5100_L1,No,No,NO,-13.17,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,8063,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,54671,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,46608,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Sí,Sí,SI,-15.61,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,Total,Total,_T,8.38,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,No,No,NO,13.98,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,França,Francia,FR,Sí,Sí,SI,768,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,França,Francia,FR,Total,Total,_T,9270,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,França,Francia,FR,No,No,NO,8501,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,França,Francia,FR,Sí,Sí,SI,-28.06,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,França,Francia,FR,Total,Total,_T,9.58,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,França,Francia,FR,No,No,NO,15.02,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,Sí,Sí,SI,4827,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,02/2025,02/2025,2025-M02,Regne Unit,Reino Unido,GB,Total,Total,_T,21823,,,Valor provisional,Valor provisional,P,,
