MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,23018,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,10.94,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,122865,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,-1.87,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,8857,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,161.37,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,100108,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,17.32,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,471751,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,-0.31,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,976157,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,0.11,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Total,Total,_T,18735675,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Total,Total,_T,4.93,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,13366502,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,11.08,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,3230283,Valor provisional,Valor provisional,P,,,,
