MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,5.11,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,02/2023,02/2023,2023-M02,Total,Total,_T,291603,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Total,Total,_T,25.06,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,02/2023,02/2023,2023-M02,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,113324,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,45.91,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,02/2023,02/2023,2023-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,142649,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,14.43,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,02/2023,02/2023,2023-M02,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,29267,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,-0.30,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,02/2023,02/2023,2023-M02,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,92218,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,23.86,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,02/2023,02/2023,2023-M02,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,3203,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,-39.18,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,02/2023,02/2023,2023-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,148953,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2023,02/2023,2023-M02,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,37.27,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,7302,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,195.93,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,38675,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,6.65,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Total,Total,_T,232430,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Total,Total,_T,44.90,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,61802,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,89.32,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,143619,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,29.35,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,19708,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,38.23,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,101774,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,42.21,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,3170,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,-1.04,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,01/2023,01/2023,2023-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,88811,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2023,01/2023,2023-M01,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,79.89,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,495637,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,195.00,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,1003201,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,36.93,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Total,Total,_T,16507007,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Total,Total,_T,90.09,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,11071063,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,118.27,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,3026196,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,49.62,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,1914110,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,34.69,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,1838161,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,54.33,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,184834,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,86.99,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,2022,2022,2022,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,13480811,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2022,2022,2022,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,102.37,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,2270,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,-31.08,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,37484,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,2.61,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Total,Total,_T,234861,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Total,Total,_T,23.34,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,71512,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,38.34,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,130760,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,21.22,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,30320,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,10.00,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,90067,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,31.81,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,3209,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,6.80,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,12/2022,12/2022,2022-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,104102,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2022,12/2022,2022-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,26.11,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,4775,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,-27.75,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,59370,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,45.11,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Total,Total,_T,299944,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Total,Total,_T,28.80,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,88147,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,25.05,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,163929,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,34.46,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,43093,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,27.23,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,97804,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,27.37,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,6755,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,60.21,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,11/2022,11/2022,2022-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,136015,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2022,11/2022,2022-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,22.57,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,51449,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,132.17,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,85935,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,-7.33,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Total,Total,_T,1587659,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Total,Total,_T,33.60,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,1052652,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,49.27,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,290897,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,22.47,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,192661,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,-13.78,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,192322,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,42.53,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,12639,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,28.23,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,10/2022,10/2022,2022-M10,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,1296763,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,10/2022,10/2022,2022-M10,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,36.38,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,51845,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,88.02,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,93051,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,19.69,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Total,Total,_T,2282108,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Total,Total,_T,52.32,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,1720895,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,66.06,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,301056,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,30.30,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,208312,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,2.47,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,183370,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Vivienda de familiares y amigos,Habitatge de familiars i amics,VIV_FAMILIARES_AMIGOS,28.73,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,24635,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Otro alojamiento turístico de no mercado,Un altre allotjament turístic de no mercat,NO_MERCADO_O,126.59,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,09/2022,09/2022,2022-M09,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,1981052,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,09/2022,09/2022,2022-M09,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,56.34,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,08/2022,08/2022,2022-M08,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,85280,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,08/2022,08/2022,2022-M08,Otro alojamiento turístico de mercado,Un altre allotjament turístic de mercat,MERCADO_O,70.87,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,08/2022,08/2022,2022-M08,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,119676,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,08/2022,08/2022,2022-M08,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,9.02,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,08/2022,08/2022,2022-M08,Total,Total,_T,2810999,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,08/2022,08/2022,2022-M08,Total,Total,_T,43.85,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,08/2022,08/2022,2022-M08,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,2065643,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,08/2022,08/2022,2022-M08,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,66.23,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,08/2022,08/2022,2022-M08,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,387670,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,08/2022,08/2022,2022-M08,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,5.36,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,08/2022,08/2022,2022-M08,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,272406,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,08/2022,08/2022,2022-M08,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,-7.24,Valor normal,Valor normal,A,,,,
