MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Menorca,Menorca,ES533,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,49.29,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,Total,Total,_T,23302,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,7070,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,3523,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,12710,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,Total,Total,_T,-39.33,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-34.19,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-41.45,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2025,02/2025,2025-M02,Eivissa y Formentera,Eivissa i Formentera,ES531,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-41.30,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Total,Total,_T,276644,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,82005,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,17092,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,177547,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Total,Total,_T,5.59,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-17.56,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-21.19,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Illes Balears,Illes Balears,ES53,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,26.07,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Total,Total,_T,235664,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,70501,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,14236,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,150926,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Total,Total,_T,6.68,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-19.49,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-11.21,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,28.68,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Total,Total,_T,13958,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,4854,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,Baja fiabilidad,Baixa fiabilitat,U,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,8666,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Total,Total,_T,23.32,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,28.19,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,Valor no disponible,Valor no disponible,O,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,27.80,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,Total,Total,_T,27023,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,6650,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,2418,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Eivissa y Formentera,Eivissa i Formentera,ES531,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,17955,Valor provisional,Valor provisional,P,,,,
