MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Vivienda propia (segunda residencia),Habitatge propi (segona residència),VIV_PROPIA,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-17.66,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Total,Total,_T,Illes Balears,Illes Balears,ES53,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,18735675,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Total,Total,_T,Mallorca,Mallorca,ES532,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,13389923,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Total,Total,_T,Menorca,Menorca,ES533,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,1678432,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Total,Total,_T,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,3667319,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Total,Total,_T,Illes Balears,Illes Balears,ES53,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,4.93,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Total,Total,_T,Mallorca,Mallorca,ES532,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,7.31,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Total,Total,_T,Menorca,Menorca,ES533,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,1.12,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Total,Total,_T,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-1.35,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Illes Balears,Illes Balears,ES53,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,13366502,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Mallorca,Mallorca,ES532,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,9828880,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Menorca,Menorca,ES533,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,1124088,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,2413534,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Illes Balears,Illes Balears,ES53,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,11.08,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Mallorca,Mallorca,ES532,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,12.21,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Menorca,Menorca,ES533,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,15.26,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Hoteles y similares,Hotels i similars,HOTEL_O_SIMILAR,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,5.03,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Illes Balears,Illes Balears,ES53,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,3230283,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mallorca,Mallorca,ES532,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,2258295,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Menorca,Menorca,ES533,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,331089,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,640900,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Illes Balears,Illes Balears,ES53,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-1.56,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mallorca,Mallorca,ES532,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-1.68,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Menorca,Menorca,ES533,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,13.80,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2024,2024,2024,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Eivissa y Formentera,Eivissa i Formentera,ES531,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-7.57,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,2024,2024,2024,Alojamiento en alquiler,Allotjament de lloguer,VIVIENDA_VACACIONAL,Illes Balears,Illes Balears,ES53,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,1667139,Valor provisional,Valor provisional,P,,,,
