MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Alemanya,Alemania,DE,592955,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Alemanya,Alemania,DE,-3.32,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,646135,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,3.33,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Països Nòrdics,Países Nórdicos,5100_L1,89650,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Països Nòrdics,Países Nórdicos,5100_L1,12.90,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,287112,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,6.04,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,120242,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,59.49,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Bèlgica,Bélgica,BE,30995,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Bèlgica,Bélgica,BE,-35.63,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Països Baixos,Países Bajos,NL,150429,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Països Baixos,Países Bajos,NL,44.38,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Suïssa,Suiza,CH,59412,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Suïssa,Suiza,CH,48.59,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,França,Francia,FR,203926,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,França,Francia,FR,14.68,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Regne Unit,Reino Unido,GB,621033,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Regne Unit,Reino Unido,GB,8.54,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Itàlia,Italia,IT,202469,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Itàlia,Italia,IT,0.47,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Rússia,Rusia,RU,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Rússia,Rusia,RU,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,3005160,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,5.96,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Món (exclosa Espanya),Mundo (excluida España),5000_XES,2437374,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Món (exclosa Espanya),Mundo (excluida España),5000_XES,7.22,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Alemanya,Alemania,DE,616810,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Alemanya,Alemania,DE,8.54,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,567787,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,0.89,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Països Nòrdics,Países Nórdicos,5100_L1,118176,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Països Nòrdics,Países Nórdicos,5100_L1,-13.16,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,308611,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,3.60,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,140884,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,59.17,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Bèlgica,Bélgica,BE,65264,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Bèlgica,Bélgica,BE,5.38,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Països Baixos,Países Bajos,NL,127210,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Països Baixos,Países Bajos,NL,18.07,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Suïssa,Suiza,CH,81292,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Suïssa,Suiza,CH,13.58,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,França,Francia,FR,169692,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,França,Francia,FR,-0.56,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Regne Unit,Reino Unido,GB,621725,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Regne Unit,Reino Unido,GB,1.56,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Itàlia,Italia,IT,185074,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Itàlia,Italia,IT,17.49,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Rússia,Rusia,RU,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Rússia,Rusia,RU,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,2484802,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,2.40,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Món (exclosa Espanya),Mundo (excluida España),5000_XES,2059265,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Món (exclosa Espanya),Mundo (excluida España),5000_XES,5.14,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Alemanya,Alemania,DE,640006,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Alemanya,Alemania,DE,3.27,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,425537,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,-9.04,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,73342,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Països Nòrdics,Países Nórdicos,5100_L1,-3.25,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,208784,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,-2.59,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,135952,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,59.57,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Bèlgica,Bélgica,BE,31944,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Bèlgica,Bélgica,BE,-28.08,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Països Baixos,Países Bajos,NL,72839,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Països Baixos,Países Bajos,NL,-26.72,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Suïssa,Suiza,CH,54452,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Suïssa,Suiza,CH,-12.65,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,França,Francia,FR,106529,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,França,Francia,FR,-14.56,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,628286,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Regne Unit,Reino Unido,GB,18.74,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,106274,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Itàlia,Italia,IT,5.20,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Rússia,Rusia,RU,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Rússia,Rusia,RU,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,2095678,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,10.35,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,1797943,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Món (exclosa Espanya),Mundo (excluida España),5000_XES,10.26,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,571132,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemanya,Alemania,DE,5.41,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,297735,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,10.86,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,66038,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Països Nòrdics,Países Nórdicos,5100_L1,-4.98,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,195944,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,21.35,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,66608,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,42.86,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Bèlgica,Bélgica,BE,38653,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Bèlgica,Bélgica,BE,4.55,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Països Baixos,Países Bajos,NL,101338,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Països Baixos,Países Bajos,NL,7.28,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Suïssa,Suiza,CH,47074,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Suïssa,Suiza,CH,-5.03,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,França,Francia,FR,128141,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,França,Francia,FR,35.03,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,511081,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Regne Unit,Reino Unido,GB,6.69,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,71897,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Itàlia,Italia,IT,27.93,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Rússia,Rusia,RU,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Rússia,Rusia,RU,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,1476091,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,12.88,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,1182890,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Món (exclosa Espanya),Mundo (excluida España),5000_XES,10.53,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,469563,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemanya,Alemania,DE,10.75,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,293201,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,23.49,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,39746,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Països Nòrdics,Países Nórdicos,5100_L1,-0.70,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,122333,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,18.20,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,35847,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,66.71,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Bèlgica,Bélgica,BE,26286,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Bèlgica,Bélgica,BE,8.46,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Països Baixos,Países Bajos,NL,68675,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Països Baixos,Países Bajos,NL,52.65,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Suïssa,Suiza,CH,63946,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Suïssa,Suiza,CH,9.31,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,França,Francia,FR,93622,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,França,Francia,FR,9.35,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Regne Unit,Reino Unido,GB,216219,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Regne Unit,Reino Unido,GB,1.58,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Itàlia,Italia,IT,46654,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Itàlia,Italia,IT,-13.69,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Rússia,Rusia,RU,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Rússia,Rusia,RU,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,545470,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,27.29,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Món (exclosa Espanya),Mundo (excluida España),5000_XES,360815,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Món (exclosa Espanya),Mundo (excluida España),5000_XES,17.54,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Alemanya,Alemania,DE,197351,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Alemanya,Alemania,DE,14.66,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,184655,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,51.95,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Països Nòrdics,Países Nórdicos,5100_L1,18036,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Països Nòrdics,Países Nórdicos,5100_L1,32.86,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,37610,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,18.39,Valor normal,Valor normal,A,,,,
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,10868,Valor normal,Valor normal,A,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,70.83,Valor normal,Valor normal,A,,,,
