MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,5.59,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,147620,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Món (exclosa Espanya),Mundo (excluida España),5000_XES,6.00,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,72260,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemanya,Alemania,DE,5.66,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,129024,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,5.13,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,10380,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Països Nòrdics,Países Nórdicos,5100_L1,93.45,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,19100,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,18.13,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,10506,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,76.46,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Bèlgica,Bélgica,BE,3365,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Bèlgica,Bélgica,BE,-21.36,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Països Baixos,Países Bajos,NL,3558,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Països Baixos,Países Bajos,NL,-44.47,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Suïssa,Suiza,CH,7474,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Suïssa,Suiza,CH,13.96,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,França,Francia,FR,5074,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,França,Francia,FR,-42.76,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,10895,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,-22.45,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,5007,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,115.25,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Rússia,Rusia,RU,,Baixa fiabilitat,Baja fiabilidad,U,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Rússia,Rusia,RU,,Valor no disponible,Valor no disponible,O,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,18735675,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,4.93,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Espanya),Mundo (excluida España),5000_XES,15311569,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Món (exclosa Espanya),Mundo (excluida España),5000_XES,6.15,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Alemanya,Alemania,DE,5029755,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Alemanya,Alemania,DE,9.15,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,3424105,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Espanya (exclosa Illes Balears),España (excluida Illes Balears),ES_XIB,-0.19,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Països Nòrdics,Países Nórdicos,5100_L1,651099,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Països Nòrdics,Países Nórdicos,5100_L1,12.24,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,1829242,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,18.70,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,787419,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,6.44,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Bèlgica,Bélgica,BE,301090,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Bèlgica,Bélgica,BE,8.62,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Països Baixos,Países Bajos,NL,701921,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Països Baixos,Países Bajos,NL,-1.90,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Suïssa,Suiza,CH,494056,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Suïssa,Suiza,CH,-0.62,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,França,Francia,FR,1122661,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,França,Francia,FR,14.78,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Regne Unit,Reino Unido,GB,3575603,Valor provisional,Valor provisional,P,,,,
