MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,TIPOS_ALOJAMIENTO#es,TIPOS_ALOJAMIENTO#ca,TIPOS_ALOJAMIENTO_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,8.17,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,8.43,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,8.11,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,14424512,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1789919,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,12634593,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,9.24,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,7.41,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,9.51,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,Alemania,Alemanya,DE,4608275,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,710827,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,3897448,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Alemania,Alemanya,DE,7.17,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,7.14,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,7.17,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,3430469,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,1491393,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,1939076,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,3.86,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,9.68,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,-0.22,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,Países Nórdicos,Països Nòrdics,5100_L1,580108,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,85832,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,494276,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Países Nórdicos,Països Nòrdics,5100_L1,-4.17,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,-16.65,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,-1.61,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,3777327,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,414335,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,3362992,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,14.08,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,17.32,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,13.69,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,Francia,França,FR,978069,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Francia,França,FR,127943,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Francia,França,FR,850126,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Francia,França,FR,10.40,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Francia,França,FR,6.83,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Francia,França,FR,10.96,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,Reino Unido,Regne Unit,GB,3692753,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Reino Unido,Regne Unit,GB,346394,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Reino Unido,Regne Unit,GB,3346360,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Reino Unido,Regne Unit,GB,9.78,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Reino Unido,Regne Unit,GB,6.07,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Reino Unido,Regne Unit,GB,10.18,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Total,Total,_T,Italia,Itàlia,IT,787980,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Italia,Itàlia,IT,104589,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Italia,Itàlia,IT,683391,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Total,Total,_T,Italia,Itàlia,IT,6.85,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Italia,Itàlia,IT,4.11,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2023,2023,2023,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Italia,Itàlia,IT,7.29,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,279024,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,153535,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,125490,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,18.80,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,17.42,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,20.55,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,165588,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,70719,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,94869,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,26.58,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,18.45,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,33.41,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Alemania,Alemanya,DE,75992,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,36140,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,39852,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Alemania,Alemanya,DE,45.50,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Alemania,Alemanya,DE,54.82,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Alemania,Alemanya,DE,37.97,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,113436,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,82815,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,30621,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,9.02,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,16.55,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,-7.19,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Países Nórdicos,Països Nòrdics,5100_L1,5966,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,2671,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,3295,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Países Nórdicos,Països Nòrdics,5100_L1,17.97,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,-9.94,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Países Nórdicos,Països Nòrdics,5100_L1,57.56,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,56626,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,20136,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,36490,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,42.46,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,21.46,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,57.49,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Francia,França,FR,7983,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Francia,França,FR,2101,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Francia,França,FR,5882,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Francia,França,FR,-33.20,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Francia,França,FR,-53.95,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Francia,França,FR,-20.38,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Reino Unido,Regne Unit,GB,16711,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Reino Unido,Regne Unit,GB,8348,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Reino Unido,Regne Unit,GB,8362,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Reino Unido,Regne Unit,GB,-5.31,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Reino Unido,Regne Unit,GB,-16.94,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Reino Unido,Regne Unit,GB,10.06,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Total,Total,_T,Italia,Itàlia,IT,2310,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Italia,Itàlia,IT,1323,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Italia,Itàlia,IT,987,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Total,Total,_T,Italia,Itàlia,IT,-44.75,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Italia,Itàlia,IT,-39.95,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,12/2023,12/2023,2023-M12,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Italia,Itàlia,IT,-50.10,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,11/2023,11/2023,2023-M11,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,313349,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,11/2023,11/2023,2023-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,156686,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,11/2023,11/2023,2023-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,156663,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2023,11/2023,2023-M11,Total,Total,_T,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,4.47,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2023,11/2023,2023-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,-4.42,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2023,11/2023,2023-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,15.18,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,11/2023,11/2023,2023-M11,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,213740,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,11/2023,11/2023,2023-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,94840,,,Valor normal,Valor normal,A,,
Turistas,Turistes,TURISTAS,11/2023,11/2023,2023-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,118900,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2023,11/2023,2023-M11,Total,Total,_T,Mundo (excluida España),Món (exclosa Espanya),5000_XES,29.24,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2023,11/2023,2023-M11,Alojamiento turístico de no mercado,Allotjament turístic de no mercat,NO_MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,31.72,,,Valor normal,Valor normal,A,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,11/2023,11/2023,2023-M11,Alojamiento turísticos de mercado,Allotjament turístic de mercat,MERCADO,Mundo (excluida España),Món (exclosa Espanya),5000_XES,27.32,,,Valor normal,Valor normal,A,,
