MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,13.41,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,18.13,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,9.82,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,1797943,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,52858,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,46286,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,1698799,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,10.26,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,20.53,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-0.84,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,10.31,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,Total,Total,_T,571132,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,14547,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Baja fiabilidad,Baixa fiabilitat,U
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,552088,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,Total,Total,_T,5.41,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,6.25,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,297735,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,59642,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,45844,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,192249,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,10.86,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,7.78,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,46.40,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,5.68,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,715731,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,20625,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,38450,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,656656,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,17.38,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,26.66,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,66.71,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,15.12,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,Total,Total,_T,511081,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,17686,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Baja fiabilidad,Baixa fiabilitat,U
Turistas,Turistes,TURISTAS,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,490055,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,Total,Total,_T,6.69,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-21.39,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,8.89,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,1476091,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,147972,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,59456,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,1268663,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,12.88,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,13.43,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,19.77,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,12.51,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,1182890,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,81577,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,35694,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,1065620,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,10.53,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,15.48,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,10.41,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,10.17,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,Total,Total,_T,469563,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,29182,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Baja fiabilidad,Baixa fiabilitat,U
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,434633,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,Total,Total,_T,10.75,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-6.71,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,13.32,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,293201,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,66395,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,23763,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,203043,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,23.49,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,10.99,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,37.24,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,26.67,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,497109,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,35756,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,24160,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,437194,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,14.70,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,17.85,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,23.53,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,14.00,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,Total,Total,_T,216219,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,16640,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,5786,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,193793,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,Total,Total,_T,1.58,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,84.49,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,60.60,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-3.21,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,545470,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,94906,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,47975,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,402589,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,27.29,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,35.28,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,12.27,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,27.56,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,360815,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,36338,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,22834,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,03/2023,03/2023,2023-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,301643,,,,,Valor normal,Valor normal,A
