MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Turistes,Turistas,TURISTAS,09/2023,09/2023,2023-M09,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,568744,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,09/2023,09/2023,2023-M09,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,449272,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,09/2023,09/2023,2023-M09,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,-32.24,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,09/2023,09/2023,2023-M09,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,7.07,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,09/2023,09/2023,2023-M09,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,26.60,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,1129232,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Illes Balears,Illes Balears,ES53,Total,Total,_T,3005577,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Illes Balears,Illes Balears,ES53,No,No,NO,1876345,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,12.68,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Illes Balears,Illes Balears,ES53,Total,Total,_T,6.92,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Illes Balears,Illes Balears,ES53,No,No,NO,3.73,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Mallorca,Mallorca,ES532,Sí,Sí,SI,854273,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Mallorca,Mallorca,ES532,Total,Total,_T,1985711,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Mallorca,Mallorca,ES532,No,No,NO,1131438,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Mallorca,Mallorca,ES532,Sí,Sí,SI,0.09,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Mallorca,Mallorca,ES532,Total,Total,_T,10.86,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Mallorca,Mallorca,ES532,No,No,NO,20.66,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Menorca,Menorca,ES533,Sí,Sí,SI,111234,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Menorca,Menorca,ES533,Total,Total,_T,360546,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Menorca,Menorca,ES533,No,No,NO,249312,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Menorca,Menorca,ES533,Sí,Sí,SI,26.59,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Menorca,Menorca,ES533,Total,Total,_T,6.03,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Menorca,Menorca,ES533,No,No,NO,-1.14,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,163725,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,659320,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,08/2023,08/2023,2023-M08,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,495595,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,169.36,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,-3.01,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,08/2023,08/2023,2023-M08,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,-19.93,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,1026652,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Illes Balears,Illes Balears,ES53,Total,Total,_T,3005160,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Illes Balears,Illes Balears,ES53,No,No,NO,1978508,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,20.13,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Illes Balears,Illes Balears,ES53,Total,Total,_T,5.96,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Illes Balears,Illes Balears,ES53,No,No,NO,-0.15,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Mallorca,Mallorca,ES532,Sí,Sí,SI,763760,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Mallorca,Mallorca,ES532,Total,Total,_T,1932209,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Mallorca,Mallorca,ES532,No,No,NO,1168448,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Mallorca,Mallorca,ES532,Sí,Sí,SI,11.04,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Mallorca,Mallorca,ES532,Total,Total,_T,4.58,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Mallorca,Mallorca,ES532,No,No,NO,0.74,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Menorca,Menorca,ES533,Sí,Sí,SI,104855,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Menorca,Menorca,ES533,Total,Total,_T,355425,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Menorca,Menorca,ES533,No,No,NO,250570,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Menorca,Menorca,ES533,Sí,Sí,SI,16.44,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Menorca,Menorca,ES533,Total,Total,_T,3.53,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Menorca,Menorca,ES533,No,No,NO,-1.06,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,158037,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,717527,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,07/2023,07/2023,2023-M07,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,559490,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,105.91,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,11.23,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,07/2023,07/2023,2023-M07,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,-1.56,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,893072,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,ES53,Total,Total,_T,2484802,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,ES53,No,No,NO,1591730,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,15.34,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,ES53,Total,Total,_T,2.40,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Illes Balears,Illes Balears,ES53,No,No,NO,-3.66,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Mallorca,Mallorca,ES532,Sí,Sí,SI,654443,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Mallorca,Mallorca,ES532,Total,Total,_T,1673381,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Mallorca,Mallorca,ES532,No,No,NO,1018938,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Mallorca,Mallorca,ES532,Sí,Sí,SI,6.91,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Mallorca,Mallorca,ES532,Total,Total,_T,2.61,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Mallorca,Mallorca,ES532,No,No,NO,0.02,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Menorca,Menorca,ES533,Sí,Sí,SI,88022,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Menorca,Menorca,ES533,Total,Total,_T,259950,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Menorca,Menorca,ES533,No,No,NO,171928,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Menorca,Menorca,ES533,Sí,Sí,SI,13.22,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Menorca,Menorca,ES533,Total,Total,_T,-0.31,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Menorca,Menorca,ES533,No,No,NO,-6.05,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,150607,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,551471,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,06/2023,06/2023,2023-M06,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,400864,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,78.40,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,3.11,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,06/2023,06/2023,2023-M06,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,-11.00,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,742090,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,ES53,Total,Total,_T,2095678,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,ES53,No,No,NO,1353588,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,3.56,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,ES53,Total,Total,_T,10.35,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Illes Balears,Illes Balears,ES53,No,No,NO,14.46,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Mallorca,Mallorca,ES532,Sí,Sí,SI,571107,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Mallorca,Mallorca,ES532,Total,Total,_T,1487422,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Mallorca,Mallorca,ES532,No,No,NO,916315,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mallorca,Mallorca,ES532,Sí,Sí,SI,-2.55,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mallorca,Mallorca,ES532,Total,Total,_T,10.86,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Mallorca,Mallorca,ES532,No,No,NO,21.25,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Menorca,Menorca,ES533,Sí,Sí,SI,67596,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Menorca,Menorca,ES533,Total,Total,_T,159759,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Menorca,Menorca,ES533,No,No,NO,92164,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Menorca,Menorca,ES533,Sí,Sí,SI,19.73,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Menorca,Menorca,ES533,Total,Total,_T,-8.19,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Menorca,Menorca,ES533,No,No,NO,-21.59,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,103387,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,448496,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,05/2023,05/2023,2023-M05,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,345109,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,39.60,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,16.97,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,05/2023,05/2023,2023-M05,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,11.55,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,309457,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,ES53,Total,Total,_T,1476091,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,ES53,No,No,NO,1166634,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,3.20,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,ES53,Total,Total,_T,12.88,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Illes Balears,Illes Balears,ES53,No,No,NO,15.76,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Mallorca,Mallorca,ES532,Sí,Sí,SI,285555,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Mallorca,Mallorca,ES532,Total,Total,_T,1155211,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Mallorca,Mallorca,ES532,No,No,NO,869657,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mallorca,Mallorca,ES532,Sí,Sí,SI,3.74,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mallorca,Mallorca,ES532,Total,Total,_T,12.48,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Mallorca,Mallorca,ES532,No,No,NO,15.67,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Menorca,Menorca,ES533,Sí,Sí,SI,4759,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Menorca,Menorca,ES533,Total,Total,_T,77861,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Menorca,Menorca,ES533,No,No,NO,73103,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Menorca,Menorca,ES533,Sí,Sí,SI,-48.26,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Menorca,Menorca,ES533,Total,Total,_T,-10.03,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Menorca,Menorca,ES533,No,No,NO,-5.49,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,19143,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,243018,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,04/2023,04/2023,2023-M04,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,223875,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,24.27,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,25.24,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,04/2023,04/2023,2023-M04,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,25.32,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,100649,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,ES53,Total,Total,_T,545470,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,ES53,No,No,NO,444821,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,25.97,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,ES53,Total,Total,_T,27.29,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Illes Balears,Illes Balears,ES53,No,No,NO,27.60,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Mallorca,Mallorca,ES532,Sí,Sí,SI,94027,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Mallorca,Mallorca,ES532,Total,Total,_T,449566,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Mallorca,Mallorca,ES532,No,No,NO,355539,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Mallorca,Mallorca,ES532,Sí,Sí,SI,23.88,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Mallorca,Mallorca,ES532,Total,Total,_T,25.08,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Mallorca,Mallorca,ES532,No,No,NO,25.41,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Menorca,Menorca,ES533,Sí,Sí,SI,2004,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Menorca,Menorca,ES533,Total,Total,_T,23086,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Menorca,Menorca,ES533,No,No,NO,21082,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Menorca,Menorca,ES533,Sí,Sí,SI,34.69,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Menorca,Menorca,ES533,Total,Total,_T,3.18,,,,,Valor normal,Valor normal,A
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,03/2023,03/2023,2023-M03,Menorca,Menorca,ES533,No,No,NO,0.93,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,4618,,,,,Valor normal,Valor normal,A
Turistes,Turistas,TURISTAS,03/2023,03/2023,2023-M03,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,72818,,,,,Valor normal,Valor normal,A
