MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Sí,Sí,SI,27473,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Total,Total,_T,235664,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,No,No,NO,208190,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Sí,Sí,SI,85.97,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,Total,Total,_T,6.68,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Mallorca,Mallorca,ES532,No,No,NO,1.00,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Sí,Sí,SI,,,,,,Baixa fiabilitat,Baja fiabilidad,U
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Total,Total,_T,13958,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,No,No,NO,13766,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Sí,Sí,SI,,,,,,Valor no disponible,Valor no disponible,O
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,Total,Total,_T,23.32,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Menorca,Menorca,ES533,No,No,NO,25.17,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,,,,,,Baixa fiabilitat,Baja fiabilidad,U
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,27023,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,27015,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Eivissa i Formentera,Eivissa y Formentera,ES531,Sí,Sí,SI,,,,,,Valor no disponible,Valor no disponible,O
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Eivissa i Formentera,Eivissa y Formentera,ES531,Total,Total,_T,-9.26,,,,,Valor provisional,Valor provisional,P
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Eivissa i Formentera,Eivissa y Formentera,ES531,No,No,NO,-8.88,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Illes Balears,Illes Balears,ES53,Sí,Sí,SI,6370379,,,,,Valor provisional,Valor provisional,P
Turistes,Turistas,TURISTAS,2024,2024,2024,Illes Balears,Illes Balears,ES53,Total,Total,_T,18735675,,,,,Valor provisional,Valor provisional,P
