MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,05/2022,05/2022,2022-M05,Reino Unido,Regne Unit,GB,4675.82,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,05/2022,05/2022,2022-M05,Reino Unido,Regne Unit,GB,931.26,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,05/2022,05/2022,2022-M05,Reino Unido,Regne Unit,GB,641.85,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,6106316,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1070244,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,908068,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1110116,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1156887,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,785176,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,546380,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,529445,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,870.48,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,758.71,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,993.98,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,914.46,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1136.85,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,998.26,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,736.42,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Mundo (excluida España),Món (exclosa Espanya),5000_XES,547.36,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,3870744,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,433392,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,590888,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,487361,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,930607,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,518250,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,488449,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,421797,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,738.10,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,929.48,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,753.74,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,510.22,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,1044.57,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,851.97,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,712.86,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,463.65,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,990455,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,424002,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,86499,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,219673,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,126544,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,57440,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,26600,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,49697,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,590.21,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,423.60,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,778.16,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,699.10,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,1407.37,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,387.48,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,903.39,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Alemania,Alemanya,DE,2012.07,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,1245117,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,212850,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,230681,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,403082,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,99736,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,209486,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,31331,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,57951,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,5118.43,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,13561.75,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,5748.91,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,19353.76,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,2501.36,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,3875.07,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,1112.97,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,04/2022,04/2022,2022-M04,Reino Unido,Regne Unit,GB,1160.08,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,4039532,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,306983,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,609932,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1123309,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,708963,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,491399,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,447532,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,351414,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,722.00,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,367.53,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1094.80,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1017.44,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,727.97,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,946.75,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,545.61,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,03/2022,03/2022,2022-M03,Mundo (excluida España),Món (exclosa Espanya),5000_XES,386.04,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,2604578,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,94414,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,393864,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,525372,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,590375,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,318440,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,398134,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,283979,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,609.48,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,404.91,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,850.58,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,707.62,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,645.75,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,796.23,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,497.51,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,03/2022,03/2022,2022-M03,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,368.62,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,608382,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,172112,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,64060,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,204285,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,70461,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,45046,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,27259,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,25159,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,481.81,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,281.12,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,1461.68,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,503.59,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,1270.04,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,607.60,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,,Valor normal,Valor normal,A,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,03/2022,03/2022,2022-M03,Alemania,Alemanya,DE,152.83,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,03/2022,03/2022,2022-M03,Reino Unido,Regne Unit,GB,826572,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,03/2022,03/2022,2022-M03,Reino Unido,Regne Unit,GB,40457,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,03/2022,03/2022,2022-M03,Reino Unido,Regne Unit,GB,152008,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,03/2022,03/2022,2022-M03,Reino Unido,Regne Unit,GB,393652,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,03/2022,03/2022,2022-M03,Reino Unido,Regne Unit,GB,48127,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,03/2022,03/2022,2022-M03,Reino Unido,Regne Unit,GB,127913,Valor normal,Valor normal,A,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,03/2022,03/2022,2022-M03,Reino Unido,Regne Unit,GB,22139,Valor normal,Valor normal,A,,,,
