MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,459819,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,589103,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,405656,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,8.49,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,15.92,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,6.27,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,2.43,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,7.34,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,19.23,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,13.50,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,02/2025,02/2025,2025-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,6.19,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,616766,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,138321,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,58576,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,255859,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,69749,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,38813,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,20796,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,34652,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,4.09,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,10.73,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,-2.94,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,-0.69,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,15.77,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,-8.65,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,4.27,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,02/2025,02/2025,2025-M02,Alemania,Alemanya,DE,28.66,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,1003486,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,21823,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,169511,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,485609,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,73035,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,172138,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,33708,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,47662,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,6.81,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,-1.61,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,13.04,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,4.66,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,7.20,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,11.51,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,-26.42,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,02/2025,02/2025,2025-M02,Reino Unido,Regne Unit,GB,35.85,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,5065094,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,147620,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,692719,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1360592,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,1076814,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,600146,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,704362,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,482841,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,6.23,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,6.00,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,3.96,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,2.99,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,12.32,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Comunidad Valenciana,Comunitat Valenciana,ES52,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,-3.16,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Madrid (Comunidad de),Madrid (Comunitat de),ES30,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,15.60,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Resto de España,Resta d'Espanya,ES_O,01/2025,01/2025,2025-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,6.43,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,España,Espanya,ES,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,3663966,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,64465,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Andalucía,Andalusia,ES61,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,524768,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Canarias,Canàries,ES70,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,671975,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Cataluña,Catalunya,ES51,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,967960,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Comunidad Valenciana,Comunitat Valenciana,ES52,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,400273,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Madrid (Comunidad de),Madrid (Comunitat de),ES30,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,636897,Valor provisional,Valor provisional,P,,,,
Turistas,Turistes,TURISTAS,Resto de España,Resta d'Espanya,ES_O,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,397628,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,España,Espanya,ES,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,8.29,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Illes Balears,Illes Balears,ES53,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,13.44,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Andalucía,Andalusia,ES61,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,6.48,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Canarias,Canàries,ES70,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,9.44,Valor provisional,Valor provisional,P,,,,
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,Cataluña,Catalunya,ES51,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,13.16,Valor provisional,Valor provisional,P,,,,
