Provincias;Ramas de actividad;Periodo;Total
09 Burgos;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2002;861.553
09 Burgos;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2001;794.260
09 Burgos;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2000;708.592
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2022 (P);2.001.025
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021;1.882.489
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;1.885.115
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;1.978.826
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2018;1.949.699
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2017;1.900.995
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2016;1.825.682
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2015;1.778.731
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2014;1.707.229
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2013;1.702.414
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2012;1.727.912
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2011;1.799.308
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2010;1.785.047
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2009;1.722.689
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2008;1.643.218
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2007;1.525.355
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2006;1.426.759
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2005;1.385.137
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2004;1.243.247
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2003;1.155.149
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2002;1.047.709
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2001;977.052
09 Burgos;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2000;928.183
09 Burgos;Valor añadido bruto total;2022 (P);9.776.316
09 Burgos;Valor añadido bruto total;2021;9.256.890
09 Burgos;Valor añadido bruto total;2020;8.774.845
09 Burgos;Valor añadido bruto total;2019;9.636.793
09 Burgos;Valor añadido bruto total;2018;9.493.107
09 Burgos;Valor añadido bruto total;2017;9.108.975
09 Burgos;Valor añadido bruto total;2016;8.679.023
09 Burgos;Valor añadido bruto total;2015;8.400.480
09 Burgos;Valor añadido bruto total;2014;8.185.789
09 Burgos;Valor añadido bruto total;2013;8.281.302
09 Burgos;Valor añadido bruto total;2012;8.667.871
09 Burgos;Valor añadido bruto total;2011;8.840.382
09 Burgos;Valor añadido bruto total;2010;8.764.770
09 Burgos;Valor añadido bruto total;2009;8.908.443
09 Burgos;Valor añadido bruto total;2008;9.231.559
09 Burgos;Valor añadido bruto total;2007;8.623.048
09 Burgos;Valor añadido bruto total;2006;7.954.008
09 Burgos;Valor añadido bruto total;2005;7.577.335
09 Burgos;Valor añadido bruto total;2004;7.103.463
09 Burgos;Valor añadido bruto total;2003;6.675.610
09 Burgos;Valor añadido bruto total;2002;6.246.317
09 Burgos;Valor añadido bruto total;2001;5.913.498
09 Burgos;Valor añadido bruto total;2000;5.652.809
09 Burgos;Impuestos netos sobre los productos;2022 (P);945.628
09 Burgos;Impuestos netos sobre los productos;2021;967.228
09 Burgos;Impuestos netos sobre los productos;2020;845.475
09 Burgos;Impuestos netos sobre los productos;2019;991.694
09 Burgos;Impuestos netos sobre los productos;2018;1.001.089
09 Burgos;Impuestos netos sobre los productos;2017;945.333
09 Burgos;Impuestos netos sobre los productos;2016;893.067
09 Burgos;Impuestos netos sobre los productos;2015;853.187
09 Burgos;Impuestos netos sobre los productos;2014;809.434
09 Burgos;Impuestos netos sobre los productos;2013;787.067
09 Burgos;Impuestos netos sobre los productos;2012;763.303
09 Burgos;Impuestos netos sobre los productos;2011;760.354
09 Burgos;Impuestos netos sobre los productos;2010;783.338
09 Burgos;Impuestos netos sobre los productos;2009;604.183
09 Burgos;Impuestos netos sobre los productos;2008;793.833
09 Burgos;Impuestos netos sobre los productos;2007;957.636
09 Burgos;Impuestos netos sobre los productos;2006;956.445
09 Burgos;Impuestos netos sobre los productos;2005;876.012
09 Burgos;Impuestos netos sobre los productos;2004;780.337
09 Burgos;Impuestos netos sobre los productos;2003;691.641
09 Burgos;Impuestos netos sobre los productos;2002;613.852
09 Burgos;Impuestos netos sobre los productos;2001;579.958
09 Burgos;Impuestos netos sobre los productos;2000;572.196
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (P);10.721.944
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021;10.224.118
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.620.320
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.628.487
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;10.494.196
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;10.054.308
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;9.572.090
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;9.253.667
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;8.995.223
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;9.068.369
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;9.431.174
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;9.600.736
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;9.548.108
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;9.512.626
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;10.025.392
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;9.580.684
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;8.910.453
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;8.453.347
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;7.883.800
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;7.367.251
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;6.860.169
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;6.493.456
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;6.225.005
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (P);9.597.123
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021;8.822.093
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.518.119
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.327.152
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;8.103.645
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;7.749.707
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;7.292.966
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;7.049.998
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;6.765.952
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;6.752.657
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;6.759.337
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;6.842.791
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;7.021.416
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;6.779.107
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;6.920.585
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;6.811.724
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;6.398.501
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;5.953.910
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;5.728.514
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;5.194.917
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;4.890.707
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;4.576.678
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;4.258.259
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2022 (P);672.029
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2021;544.097
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2020;380.318
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2019;557.714
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2018;516.428
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2017;569.616
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2016;487.548
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2015;399.194
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2014;374.612
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2013;317.720
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2012;331.405
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2011;319.667
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2010;351.852
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2009;296.964
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2008;288.669
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2007;287.301
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2006;245.683
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2005;307.955
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2004;310.409
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2003;305.598
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2002;312.536
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2001;326.463
10 Cáceres;A. Agricultura, ganadería, silvicultura y pesca;2000;276.685
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2022 (P);2.355.558
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021;2.157.712
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.435.791
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.540.815
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018;1.634.351
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017;1.398.147
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016;1.340.014
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015;1.369.596
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014;1.344.989
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2013;1.416.466
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2012;1.356.305
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2011;1.284.713
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2010;1.190.715
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2009;1.150.283
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2008;1.148.477
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2007;1.104.045
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2006;997.271
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2005;949.259
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2004;932.494
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2003;840.623
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2002;799.420
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2001;711.799
10 Cáceres;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2000;669.301
10 Cáceres;C. - De las cuales: Industria manufacturera;2022 (P);407.969
10 Cáceres;C. - De las cuales: Industria manufacturera;2021;344.946
10 Cáceres;C. - De las cuales: Industria manufacturera;2020;287.569
10 Cáceres;C. - De las cuales: Industria manufacturera;2019;312.656
10 Cáceres;C. - De las cuales: Industria manufacturera;2018;320.096
10 Cáceres;C. - De las cuales: Industria manufacturera;2017;319.467
10 Cáceres;C. - De las cuales: Industria manufacturera;2016;340.159
10 Cáceres;C. - De las cuales: Industria manufacturera;2015;315.960
10 Cáceres;C. - De las cuales: Industria manufacturera;2014;298.793
10 Cáceres;C. - De las cuales: Industria manufacturera;2013;321.324
10 Cáceres;C. - De las cuales: Industria manufacturera;2012;354.917
10 Cáceres;C. - De las cuales: Industria manufacturera;2011;383.257
10 Cáceres;C. - De las cuales: Industria manufacturera;2010;375.927
10 Cáceres;C. - De las cuales: Industria manufacturera;2009;354.743
10 Cáceres;C. - De las cuales: Industria manufacturera;2008;362.600
10 Cáceres;C. - De las cuales: Industria manufacturera;2007;368.815
10 Cáceres;C. - De las cuales: Industria manufacturera;2006;328.509
10 Cáceres;C. - De las cuales: Industria manufacturera;2005;315.011
10 Cáceres;C. - De las cuales: Industria manufacturera;2004;316.329
10 Cáceres;C. - De las cuales: Industria manufacturera;2003;282.504
10 Cáceres;C. - De las cuales: Industria manufacturera;2002;274.419
10 Cáceres;C. - De las cuales: Industria manufacturera;2001;243.444
10 Cáceres;C. - De las cuales: Industria manufacturera;2000;215.994
10 Cáceres;F. Construcción;2022 (P);645.079
10 Cáceres;F. Construcción;2021;618.897
10 Cáceres;F. Construcción;2020;599.854
10 Cáceres;F. Construcción;2019;701.680
10 Cáceres;F. Construcción;2018;606.919
10 Cáceres;F. Construcción;2017;572.948
10 Cáceres;F. Construcción;2016;584.232
10 Cáceres;F. Construcción;2015;535.435
10 Cáceres;F. Construcción;2014;479.474
10 Cáceres;F. Construcción;2013;494.477
10 Cáceres;F. Construcción;2012;604.124
10 Cáceres;F. Construcción;2011;700.735
10 Cáceres;F. Construcción;2010;831.107
10 Cáceres;F. Construcción;2009;854.251
10 Cáceres;F. Construcción;2008;976.845
10 Cáceres;F. Construcción;2007;996.676
10 Cáceres;F. Construcción;2006;990.721
10 Cáceres;F. Construcción;2005;842.952
10 Cáceres;F. Construcción;2004;799.754
10 Cáceres;F. Construcción;2003;742.468
10 Cáceres;F. Construcción;2002;653.280
10 Cáceres;F. Construcción;2001;576.206
10 Cáceres;F. Construcción;2000;521.855
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2022 (P);1.374.953
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021;1.209.495
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.091.385
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;1.350.168
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2018;1.324.070
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2017;1.356.540
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2016;1.148.072
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2015;1.063.442
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2014;1.035.340
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2013;1.026.317
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2012;1.018.993
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2011;1.015.697
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2010;1.073.670
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2009;1.055.414
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2008;1.096.533
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2007;1.092.439
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2006;1.054.806
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2005;1.013.009
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2004;966.718
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2003;898.801
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2002;881.847
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2001;850.479
10 Cáceres;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2000;832.232
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2022 (P);1.340.727
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021;1.268.956
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.244.810
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;1.251.025
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2018;1.213.612
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2017;1.154.574
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2016;1.130.644
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2015;1.127.151
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2014;1.104.662
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2013;1.106.278
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2012;1.101.153
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2011;1.070.594
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2010;1.056.948
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2009;1.059.170
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2008;1.045.342
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2007;968.112
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2006;852.896
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2005;749.858
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2004;659.047
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2003;598.849
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2002;545.141
